Date	Time	120mWS	120mSD	90mWS	90mSD	60mWS	60mSD	30mWS	30mSD	10mWS	10mSD	120mDIR	90mDIR	60mDIR	120mTEMP	10mTEMP	PRESS
100113	1140	9.51	1.09	9.66	1.13	9.34	1.21	9.08	1.20	8.10	1.18	250.00	260.00	255.94	31.89	32.74	995.71
100113	1150	8.75	1.39	8.71	1.42	8.38	1.40	7.96	1.51	7.53	1.47	257.00	267.00	261.56	31.89	32.74	995.49
100113	1200	9.96	1.10	9.80	1.17	9.27	1.15	8.91	1.26	8.32	1.46	252.00	263.00	257.34	31.89	32.74	995.27
100113	1210	9.24	1.03	9.30	1.07	8.95	1.08	8.80	1.27	8.25	1.46	255.00	264.00	260.16	32.01	32.99	995.12
100113	1220	10.15	1.13	10.04	1.22	9.51	1.22	9.15	1.45	8.45	1.48	249.00	260.00	254.53	32.01	32.87	994.83
100113	1230	9.72	1.24	9.58	1.18	9.10	1.22	8.53	1.49	7.75	1.59	248.00	259.00	253.13	32.01	33.11	994.61
100113	1240	10.31	0.99	10.24	1.10	9.72	1.12	9.27	1.22	8.55	1.38	250.00	262.00	254.53	32.26	33.23	994.39
100113	1250	10.89	1.06	10.81	1.42	10.29	1.40	9.78	1.69	8.86	1.75	243.00	255.00	248.91	31.89	33.11	994.17
100113	1300	10.11	1.48	10.20	1.32	9.90	1.17	9.45	1.27	8.67	1.37	249.00	260.00	254.53	32.13	33.11	994.02
100113	1310	11.21	1.43	11.16	1.56	10.75	1.42	10.15	1.50	9.46	1.55	245.00	256.00	250.31	32.26	33.23	993.81
100113	1320	11.17	1.31	11.39	1.39	10.96	1.48	10.44	1.55	9.47	1.73	246.00	257.00	250.31	32.26	33.48	993.59
100113	1330	11.65	1.34	11.66	1.30	11.22	1.22	10.68	1.36	9.77	1.68	249.00	260.00	254.53	32.26	33.48	993.29
100113	1340	11.70	1.05	12.05	1.18	11.66	1.06	11.27	1.19	10.48	1.35	256.00	267.00	261.56	32.38	33.35	993.15
100113	1350	11.67	1.25	11.64	1.39	11.00	1.36	10.73	1.33	10.01	1.38	259.00	270.00	265.78	32.26	33.48	993.00
100113	1400	10.89	1.27	10.84	1.55	10.66	1.40	10.38	1.41	9.66	1.51	255.00	267.00	264.38	32.74	33.72	992.78
100113	1410	11.63	1.03	11.69	0.95	11.11	1.04	10.86	1.30	9.91	1.47	255.00	267.00	262.97	32.50	33.60	992.63
100113	1420	11.30	0.92	11.56	0.96	10.88	1.05	10.34	1.21	9.80	1.53	256.00	269.00	262.97	32.62	33.72	992.56
100113	1430	12.23	1.28	12.22	1.43	11.46	1.46	11.31	1.52	10.58	1.68	255.00	267.00	262.97	32.50	33.60	992.41
100113	1440	12.33	1.16	12.22	1.24	11.74	1.07	11.39	1.38	10.43	1.50	255.00	266.00	260.16	32.01	32.74	992.41
100113	1450	12.36	1.33	12.36	1.33	11.85	1.19	11.42	1.17	10.41	1.40	257.00	269.00	264.38	31.89	32.62	992.34
100113	1500	13.22	1.19	13.16	1.36	12.23	1.46	11.39	1.59	10.31	1.64	256.00	267.00	264.38	31.40	32.26	992.34
100113	1510	11.92	1.53	12.18	1.41	11.86	1.25	11.60	1.40	10.57	1.54	253.00	266.00	260.16	30.91	31.65	992.41
100113	1520	11.37	1.35	11.43	1.33	10.85	1.26	10.40	1.44	9.53	1.75	253.00	266.00	260.16	31.40	32.13	992.27
100113	1530	12.04	1.06	11.99	1.36	11.15	1.33	10.50	1.38	9.64	1.30	257.00	270.00	265.78	31.40	31.89	992.27
100113	1540	11.90	1.05	11.93	1.13	11.36	1.17	11.02	1.35	10.08	1.64	259.00	271.00	265.78	31.65	32.38	992.27
100113	1550	12.53	0.83	12.70	0.91	12.21	0.87	11.63	1.21	10.44	1.44	257.00	270.00	264.38	31.77	32.26	992.19
100113	1600	11.99	1.15	11.84	1.33	11.33	1.30	10.71	1.41	9.67	1.58	257.00	269.00	264.38	32.01	32.74	992.27
100113	1610	12.92	1.25	12.77	1.46	12.18	1.41	11.61	1.50	10.51	1.65	257.00	269.00	262.97	32.01	32.62	992.19
100113	1620	14.83	1.15	14.90	1.33	14.14	1.18	13.26	1.62	11.85	1.80	259.00	271.00	267.19	31.65	32.01	992.12
100113	1630	14.23	1.25	14.34	1.39	13.27	1.53	12.08	1.68	10.94	1.75	257.00	270.00	264.38	31.40	31.77	992.27
100113	1640	14.14	1.26	14.17	1.45	13.45	1.52	12.88	1.59	11.62	1.73	255.00	267.00	261.56	31.04	31.40	992.27
100113	1650	15.75	1.35	15.66	1.52	14.54	1.75	13.48	1.87	12.22	1.86	260.00	273.00	268.59	30.91	31.28	992.34
100113	1700	14.58	1.52	14.69	1.60	13.79	1.53	12.87	1.35	11.63	1.55	257.00	269.00	262.97	30.91	30.91	992.49
100113	1710	14.35	1.38	14.45	1.68	13.52	1.70	12.31	1.62	10.89	1.62	256.00	267.00	261.56	30.67	30.91	992.71
100113	1720	14.22	1.88	14.14	2.08	13.24	2.00	12.25	1.84	10.64	1.70	256.00	267.00	260.16	30.43	30.79	992.78
100113	1730	13.11	1.72	12.57	1.88	11.86	1.75	10.97	1.80	9.73	1.54	256.00	269.00	262.97	30.43	30.43	993.00
100113	1740	15.28	1.98	15.28	2.28	14.27	2.27	13.22	2.04	11.95	2.11	260.00	273.00	268.59	30.18	30.18	993.00
100113	1750	13.87	1.47	13.45	1.38	12.54	1.45	11.61	1.61	10.46	1.71	264.00	277.00	272.81	29.81	29.81	993.22
100113	1800	13.48	1.68	13.35	1.79	12.74	1.58	12.16	1.56	10.67	1.75	260.00	271.00	267.19	29.69	29.69	993.22
100113	1810	15.09	1.83	14.82	2.01	13.91	1.81	12.89	2.01	11.69	2.02	256.00	269.00	264.38	29.45	29.45	993.22
100113	1820	14.31	1.75	13.89	1.76	12.51	1.76	11.63	1.75	10.25	1.94	253.00	264.00	258.75	29.20	29.20	993.44
100113	1830	12.68	1.54	12.46	1.67	11.51	1.65	10.42	1.74	9.09	1.79	255.00	266.00	258.75	29.08	28.96	993.73
100113	1840	13.36	1.79	13.06	1.74	11.97	1.54	10.89	1.64	9.65	1.94	253.00	264.00	258.75	28.96	28.84	993.88
100113	1850	13.40	1.22	12.76	1.28	11.66	1.47	10.98	1.55	9.63	1.71	252.00	263.00	257.34	28.72	28.72	993.95
100113	1900	12.85	1.89	12.11	1.90	10.89	1.92	9.55	2.07	8.19	2.03	253.00	264.00	258.75	28.72	28.59	994.17
100113	1910	13.88	1.71	13.63	1.77	12.72	1.67	11.62	1.78	10.24	1.75	252.00	264.00	258.75	28.59	28.59	994.32
100113	1920	13.70	1.84	12.92	2.04	11.89	1.87	10.92	1.62	9.51	1.73	255.00	266.00	260.16	28.47	28.47	994.54
100113	1930	13.30	1.37	12.85	1.56	11.73	1.52	11.08	1.42	10.13	1.64	255.00	267.00	262.97	28.47	28.47	994.68
100113	1940	12.91	1.55	12.23	1.75	11.09	1.57	10.03	1.48	8.96	1.37	256.00	269.00	262.97	28.35	28.35	994.98
100113	1950	12.46	1.49	11.81	1.30	10.68	1.29	9.79	1.61	8.48	1.64	255.00	266.00	261.56	28.47	28.35	995.12
100113	2000	12.61	1.42	12.29	1.53	11.26	1.68	10.47	1.68	9.36	1.54	255.00	266.00	261.56	28.47	28.35	995.20
100113	2010	12.26	1.43	11.79	1.45	10.75	1.47	9.84	1.54	8.74	1.56	253.00	266.00	260.16	28.35	28.35	995.34
100113	2020	12.70	1.63	12.32	1.85	11.14	1.47	10.05	1.53	8.92	1.52	257.00	269.00	262.97	28.35	28.35	995.49
100113	2030	12.90	1.37	12.43	1.37	11.32	1.34	10.32	1.37	9.21	1.51	259.00	270.00	264.38	28.23	28.23	995.56
100113	2040	12.58	1.17	11.97	1.28	10.66	1.45	9.84	1.37	8.52	1.57	260.00	273.00	267.19	28.23	28.23	995.71
100113	2050	12.65	1.31	12.25	1.51	11.24	1.46	10.11	1.43	8.90	1.26	260.00	271.00	267.19	28.11	28.23	995.86
100113	2100	13.05	1.30	12.88	1.37	11.91	1.23	10.97	1.33	9.74	1.46	260.00	271.00	265.78	28.11	28.23	995.86
100113	2110	11.85	1.07	11.41	1.28	10.28	1.19	9.45	1.22	8.25	1.27	262.00	273.00	267.19	28.23	28.11	996.08
100113	2120	11.46	1.24	11.03	1.44	10.05	1.25	9.14	1.33	8.04	1.41	262.00	274.00	270.00	28.23	28.11	996.37
100113	2130	12.38	1.43	11.85	1.38	10.86	1.30	9.82	1.40	8.73	1.35	263.00	276.00	270.00	28.23	28.11	996.30
100113	2140	11.39	1.39	11.11	1.47	10.15	1.56	9.32	1.73	8.38	1.74	262.00	273.00	267.19	28.23	28.11	996.52
100113	2150	12.03	1.41	11.47	1.40	10.51	1.19	9.42	1.25	8.44	1.28	263.00	276.00	270.00	28.23	27.98	996.59
100113	2200	10.98	1.49	10.49	1.51	9.46	1.38	8.52	1.30	7.40	1.30	262.00	274.00	267.19	27.98	27.98	996.66
100113	2210	11.60	1.00	11.13	1.22	9.86	1.13	8.72	1.16	7.68	1.30	262.00	273.00	267.19	28.11	27.98	996.66
100113	2220	10.51	1.18	9.85	1.36	8.79	1.17	7.93	1.25	6.85	1.26	263.00	274.00	270.00	28.11	27.98	996.81
100113	2230	11.44	1.11	10.74	1.18	9.54	1.07	8.50	1.19	7.08	1.08	262.00	274.00	268.59	28.11	27.98	996.81
100113	2240	12.06	1.11	11.57	1.21	10.40	1.19	9.63	1.13	8.64	1.24	263.00	274.00	270.00	28.11	27.98	996.81
100113	2250	10.76	1.27	10.32	1.18	9.53	1.00	8.83	1.22	7.86	1.20	263.00	274.00	270.00	28.11	27.98	996.73
100113	2300	11.62	0.95	11.01	1.11	9.78	1.06	8.85	1.16	7.91	1.16	262.00	273.00	268.59	27.98	27.86	996.88
100113	2310	11.26	1.16	10.86	1.28	9.60	1.26	8.62	1.22	7.50	1.13	262.00	274.00	268.59	27.98	27.86	996.95
100113	2320	10.93	1.18	10.41	1.27	9.27	1.23	8.36	1.22	7.37	1.35	262.00	274.00	267.19	27.98	27.86	997.03
100113	2330	10.39	1.19	9.83	1.41	8.81	1.32	8.05	1.22	7.12	1.15	260.00	273.00	267.19	27.86	27.74	997.03
100113	2340	9.91	1.11	9.33	1.19	8.39	1.05	7.52	0.95	6.85	1.04	262.00	273.00	270.00	27.86	27.74	997.03
100113	2350	9.55	1.17	8.75	1.06	8.03	0.85	7.36	1.07	6.52	1.15	262.00	274.00	270.00	27.98	27.86	996.88
100213	0000	10.33	1.26	9.90	1.06	8.93	1.16	7.86	1.20	7.08	1.22	263.00	276.00	270.00	27.98	27.86	996.73
100213	0010	10.38	1.15	9.93	1.03	9.02	1.17	7.90	1.19	7.34	1.26	266.00	278.00	272.81	27.74	27.74	996.59
100213	0020	10.39	1.22	9.63	1.35	8.56	1.21	7.59	1.16	6.67	1.00	267.00	278.00	275.63	27.86	27.74	996.44
100213	0030	9.48	1.24	8.98	1.29	8.23	1.19	7.39	1.35	6.45	1.32	264.00	277.00	271.41	27.98	27.86	996.44
100213	0040	10.87	1.13	9.99	1.27	8.67	1.29	7.53	1.38	6.86	1.45	264.00	276.00	270.00	28.11	27.86	996.22
100213	0050	10.16	1.37	9.64	1.14	8.68	1.08	7.76	0.97	6.60	0.92	266.00	278.00	272.81	28.11	27.86	996.15
100213	0100	10.03	1.29	9.40	1.30	8.46	1.07	7.48	1.07	6.23	1.05	270.00	281.00	278.44	27.98	27.86	996.00
100213	0110	11.19	1.11	10.52	1.42	9.47	1.44	8.28	1.46	7.19	1.33	270.00	283.00	278.44	27.98	27.86	995.78
100213	0120	10.59	1.10	9.81	1.22	8.78	1.11	7.95	1.18	7.04	1.11	270.00	283.00	278.44	27.86	27.74	995.71
100213	0130	10.67	1.18	10.01	1.25	8.95	1.30	7.83	1.43	6.70	1.18	271.00	283.00	278.44	27.86	27.62	995.56
100213	0140	9.18	1.00	8.74	1.10	7.67	1.21	6.62	1.27	5.86	1.25	270.00	284.00	278.44	27.98	27.74	995.56
100213	0150	7.91	1.01	7.36	0.89	6.57	0.82	5.59	0.95	4.60	0.95	271.00	284.00	281.25	27.86	27.74	995.56
100213	0200	7.88	0.82	7.48	1.06	6.62	0.84	5.86	0.77	4.95	0.83	267.00	280.00	275.63	27.86	27.62	995.56
100213	0210	9.03	1.36	8.04	1.29	7.02	1.11	5.77	1.10	4.76	1.00	267.00	281.00	275.63	27.86	27.62	995.49
100213	0220	10.52	1.31	9.75	1.34	8.60	1.24	7.63	1.26	6.75	1.18	266.00	277.00	272.81	27.98	27.74	995.42
100213	0230	10.04	1.29	9.03	1.38	7.85	1.17	7.04	1.20	6.05	1.16	264.00	276.00	271.41	27.86	27.62	995.42
100213	0240	10.58	1.11	10.12	1.12	9.06	1.01	8.08	1.02	7.34	1.11	263.00	274.00	268.59	27.62	27.62	995.49
100213	0250	9.62	1.05	8.85	1.28	7.95	1.11	7.22	1.12	6.45	1.23	259.00	270.00	265.78	27.62	27.50	995.56
100213	0300	8.35	1.05	8.01	1.04	7.28	1.08	6.40	1.03	5.42	1.00	253.00	266.00	258.75	27.74	27.62	995.64
100213	0310	9.40	1.14	9.00	1.18	8.00	1.21	7.25	1.10	6.30	1.16	257.00	269.00	261.56	27.62	27.62	995.64
100213	0320	10.58	1.15	10.28	1.13	9.62	1.14	8.86	1.26	7.78	1.41	256.00	267.00	261.56	27.50	27.37	995.71
100213	0330	10.85	0.88	10.47	1.08	9.47	1.04	8.57	1.07	7.41	1.12	256.00	267.00	262.97	27.37	27.25	995.71
100213	0340	10.43	0.97	9.60	1.10	8.69	1.14	7.90	1.17	6.86	1.10	257.00	270.00	264.38	27.25	27.13	995.71
100213	0350	10.03	0.92	9.62	1.08	8.66	1.10	7.71	1.05	6.59	1.03	257.00	269.00	262.97	27.13	27.01	995.78
100213	0400	10.42	1.07	9.69	1.13	8.67	1.14	7.87	1.37	7.07	1.45	257.00	269.00	262.97	27.13	27.01	995.71
100213	0410	11.13	1.18	10.66	1.31	9.51	1.24	8.47	1.07	7.44	1.24	260.00	271.00	267.19	27.13	27.01	995.78
100213	0420	11.06	1.33	10.40	1.40	9.33	1.32	8.18	1.24	7.30	1.21	259.00	271.00	267.19	27.25	27.13	995.78
