Date	Time	120mWS	120mSD	90mWS	90mSD	60mWS	60mSD	30mWS	30mSD	10mWS	10mSD	120mDIr	90mDIR	60mDIR	120mTemp	10mTemp	Press
010114	0000	8.45	0.84	7.54	0.89	6.04	0.75	4.56	0.64	3.51	0.68	38.00	51.00	47.81	23.71	23.35	1003.25
010114	0010	8.04	0.76	7.31	0.78	6.01	0.84	4.94	0.79	4.10	0.72	38.00	51.00	46.41	23.47	23.22	1003.18
010114	0020	7.18	0.44	6.47	0.49	5.43	0.57	4.40	0.63	3.30	0.54	34.00	48.00	43.59	23.47	23.22	1003.11
010114	0030	6.99	0.68	6.34	0.56	5.03	0.57	3.71	0.65	2.76	0.60	27.00	39.00	35.16	23.47	23.10	1003.11
010114	0040	6.39	0.71	5.85	0.68	4.71	0.61	3.54	0.62	2.71	0.50	25.00	37.00	32.34	23.35	23.10	1003.03
010114	0050	6.53	0.71	6.01	0.66	4.76	0.69	3.46	0.58	2.72	0.55	27.00	39.00	32.34	23.22	22.98	1002.96
010114	0100	7.19	0.54	6.47	0.61	5.14	0.55	3.80	0.59	2.94	0.48	28.00	41.00	35.16	23.22	22.98	1002.81
010114	0110	7.41	0.76	6.74	0.70	5.46	0.68	4.05	0.66	3.21	0.57	28.00	41.00	33.75	23.22	22.86	1002.67
010114	0120	7.65	0.74	7.11	0.67	5.70	0.82	4.34	0.62	3.37	0.67	24.00	37.00	30.94	23.10	22.86	1002.59
010114	0130	7.09	0.75	6.24	0.69	5.00	0.60	3.89	0.60	2.96	0.50	20.00	34.00	28.13	22.98	22.73	1002.59
010114	0140	6.76	0.80	6.24	0.76	5.02	0.87	3.71	0.75	2.98	0.69	18.00	30.00	25.31	22.86	22.73	1002.52
010114	0150	6.10	0.58	5.60	0.56	4.30	0.72	3.30	0.71	2.50	0.66	14.00	25.00	21.09	22.73	22.61	1002.52
010114	0200	4.77	1.12	4.23	1.25	3.15	0.99	2.36	0.83	1.71	0.66	6.00	15.00	9.84	22.49	22.49	1002.52
010114	0210	5.61	0.69	4.94	0.70	2.75	0.77	2.15	0.53	1.53	0.55	8.00	17.00	7.03	22.37	22.25	1002.45
010114	0220	6.32	0.48	5.53	0.63	3.46	0.89	2.57	0.62	1.72	0.47	8.00	17.00	9.84	22.25	22.00	1002.30
010114	0230	5.43	0.96	4.33	1.00	2.88	0.60	2.57	0.58	2.01	0.46	3.00	11.00	2.81	22.25	22.00	1002.30
010114	0240	4.99	0.82	3.83	0.67	3.97	0.87	3.27	0.66	2.48	0.46	0.00	6.00	358.59	22.12	21.76	1002.23
010114	0250	5.20	0.75	4.02	0.59	5.04	0.71	3.87	0.64	2.99	0.53	1.00	3.00	355.78	22.12	21.76	1002.15
010114	0300	4.86	0.60	4.45	0.75	5.28	0.63	3.90	0.75	3.00	0.54	357.00	1.00	355.78	22.12	21.76	1002.08
010114	0310	4.77	0.46	4.45	0.75	4.64	0.76	3.21	0.87	2.51	0.73	356.00	1.00	357.19	22.12	21.64	1002.08
010114	0320	4.69	0.59	3.95	0.66	3.38	0.95	2.63	0.61	2.13	0.55	357.00	4.00	0.00	22.00	21.64	1002.08
010114	0330	5.27	1.02	3.82	0.76	2.77	0.65	2.06	0.63	1.40	0.75	1.00	7.00	2.81	22.00	21.64	1002.15
010114	0340	3.90	0.53	3.45	0.64	3.27	0.70	2.09	0.53	1.32	0.62	356.00	3.00	358.59	22.00	21.51	1002.15
010114	0350	4.23	0.97	3.56	0.78	3.02	0.74	1.95	0.61	1.16	0.67	357.00	6.00	0.00	21.76	21.39	1002.15
010114	0400	4.72	0.70	3.79	0.70	3.19	0.93	2.17	0.75	1.70	0.65	359.00	6.00	0.00	21.76	21.27	1002.08
