Date	Time	120mWS	120mSD	90mWS	90mSD	60mWS	60mSD	30mWS	30mSD	10mWS	10mSD	120mDIR	90mDIR	60mDIR	120mTEMP	10mTEMP	PRESS
110114	0000	1.52	0.63	1.63	0.52	2.08	0.25	1.94	0.10	0.77	0.57	231.00	239.00	223.59	26.52	25.54	998.79
110114	0010	1.91	0.49	2.05	0.52	2.66	0.41	2.46	0.35	1.03	0.61	225.00	239.00	212.34	26.52	25.54	998.79
110114	0020	2.97	0.36	3.29	0.36	3.64	0.20	3.25	0.21	2.03	0.23	214.00	239.00	210.94	26.52	25.54	998.79
110114	0030	3.88	0.31	3.98	0.23	4.21	0.23	3.39	0.29	2.12	0.25	215.00	239.00	213.75	26.40	25.42	998.79
110114	0040	4.15	0.27	4.09	0.25	4.37	0.27	3.47	0.35	2.25	0.42	211.00	239.00	223.59	26.27	25.30	998.71
110114	0050	3.81	0.25	3.69	0.23	3.89	0.23	3.07	0.18	1.76	0.34	212.00	239.00	227.81	26.27	25.18	998.57
110114	0100	3.72	0.23	3.59	0.23	4.09	0.20	2.94	0.18	1.55	0.31	219.00	239.00	229.22	26.40	25.30	998.35
110114	0110	3.38	0.23	3.27	0.27	3.62	0.34	2.63	0.25	1.53	0.18	229.00	239.00	234.84	26.40	25.18	998.20
110114	0120	3.00	0.29	2.86	0.33	3.29	0.29	2.28	0.18	1.34	0.18	238.00	239.00	246.09	26.40	25.18	998.05
110114	0130	2.51	0.33	2.42	0.31	2.79	0.25	1.81	0.29	0.61	0.55	239.00	239.00	246.09	26.40	25.18	997.83
110114	0140	2.70	0.31	2.55	0.25	3.33	0.34	2.21	0.27	0.88	0.61	239.00	239.00	248.91	26.40	25.05	997.69
110114	0150	2.57	0.25	2.59	0.27	3.19	0.27	2.18	0.15	1.27	0.21	245.00	239.00	258.75	26.27	25.05	997.54
110114	0200	2.66	0.27	2.68	0.27	3.00	0.20	2.17	0.10	1.08	0.37	248.00	239.00	254.53	26.27	25.18	997.47
110114	0210	2.68	0.31	2.80	0.29	2.87	0.20	1.94	0.15	0.80	0.53	249.00	239.00	253.13	26.40	25.18	997.47
110114	0220	2.98	0.25	2.71	0.29	2.69	0.25	2.07	0.15	0.97	0.45	248.00	239.00	264.38	26.15	25.18	997.47
110114	0230	3.09	0.29	2.71	0.31	2.91	0.27	2.07	0.21	1.23	0.31	250.00	239.00	270.00	26.15	25.18	997.47
110114	0240	2.72	0.33	2.48	0.34	2.48	0.29	1.61	0.15	0.80	0.55	246.00	239.00	265.78	26.15	25.18	997.47
110114	0250	2.22	0.33	1.98	0.37	2.28	0.20	1.28	0.32	0.39	0.35	246.00	239.00	253.13	26.27	25.05	997.32
110114	0300	2.18	0.27	1.85	0.37	2.59	0.29	1.38	0.27	0.66	0.55	245.00	239.00	244.69	26.40	25.05	997.25
110114	0310	2.13	0.36	1.84	0.37	2.63	0.29	1.68	0.15	0.64	0.54	245.00	239.00	241.88	26.52	25.05	997.17
110114	0320	2.12	0.45	1.76	0.50	2.59	0.29	1.74	0.29	0.58	0.56	245.00	239.00	237.66	26.52	25.18	997.10
110114	0330	3.18	0.37	3.09	0.25	3.42	0.20	2.53	0.15	1.76	0.18	236.00	239.00	241.88	26.40	25.05	996.95
110114	0340	3.10	0.31	3.03	0.27	3.34	0.29	2.38	0.23	1.51	0.21	239.00	239.00	244.69	26.40	25.05	996.81
110114	0350	3.31	0.23	3.09	0.25	3.47	0.29	2.34	0.15	1.53	0.15	238.00	239.00	244.69	26.27	24.93	996.88
110114	0400	4.15	0.27	4.06	0.23	4.15	0.23	2.78	0.38	1.95	0.37	233.00	239.00	244.69	26.03	24.93	996.95
110114	0410	4.59	0.25	4.31	0.21	4.30	0.20	3.10	0.23	1.92	0.31	231.00	239.00	239.06	25.91	24.81	997.10
110114	0420	4.94	0.23	4.32	0.25	3.99	0.20	2.95	0.15	1.63	0.27	228.00	239.00	236.25	26.03	24.69	997.25
110114	0430	4.97	0.25	4.14	0.33	3.67	0.32	2.58	0.29	1.25	0.49	231.00	239.00	237.66	25.79	24.69	997.32
110114	0440	4.42	0.21	3.59	0.25	2.98	0.23	1.82	0.21	0.62	0.57	231.00	239.00	236.25	25.79	24.69	997.39
110114	0450	4.11	0.21	3.11	0.31	2.67	0.25	1.40	0.18	0.33	0.25	233.00	239.00	239.06	25.66	24.69	997.47
110114	0500	4.39	0.21	3.64	0.23	3.11	0.20	1.76	0.21	0.80	0.53	232.00	239.00	240.47	25.66	24.57	997.61
110114	0510	3.49	0.39	2.56	0.49	2.21	0.43	0.53	0.52	0.32	0.23	246.00	239.00	265.78	25.66	24.69	997.76
110114	0520	3.68	0.25	2.89	0.31	2.56	0.31	1.24	0.50	0.42	0.40	250.00	239.00	268.59	25.54	24.57	997.83
110114	0530	3.69	0.23	3.01	0.37	2.99	0.34	2.06	0.25	0.87	0.55	256.00	239.00	279.84	25.54	24.57	997.98
110114	0540	4.13	0.21	3.61	0.31	3.08	0.31	1.81	0.31	0.89	0.59	253.00	239.00	272.81	25.66	24.69	998.20
110114	0550	4.00	0.23	3.02	0.25	2.66	0.25	1.47	0.10	0.29	0.00	253.00	239.00	275.63	25.66	24.57	998.42
110114	0600	3.95	0.21	2.85	0.25	2.37	0.32	1.03	0.53	0.29	0.00	252.00	239.00	277.03	25.79	24.69	998.57
110114	0610	3.76	0.21	2.66	0.33	2.15	0.29	0.58	0.53	0.29	0.00	245.00	239.00	272.81	26.03	24.69	998.71
110114	0620	3.86	0.25	2.88	0.25	2.39	0.27	1.33	0.15	0.29	0.00	243.00	239.00	265.78	26.15	24.81	998.86
110114	0630	3.79	0.36	2.35	0.41	2.17	0.32	1.12	0.54	0.30	0.10	246.00	239.00	260.16	26.03	24.81	998.93
110114	0640	3.12	0.21	1.87	0.36	1.68	0.32	0.31	0.00	0.29	0.00	242.00	239.00	248.91	25.79	24.81	999.01
110114	0650	3.00	0.31	2.03	0.31	1.71	0.34	0.55	0.51	0.34	0.27	235.00	239.00	246.09	25.91	24.81	999.23
110114	0700	3.16	0.41	2.30	0.44	1.79	0.49	1.35	0.79	0.70	0.62	233.00	239.00	244.69	25.91	24.81	999.30
110114	0710	3.98	0.29	3.16	0.33	2.92	0.23	2.54	0.18	1.77	0.23	228.00	239.00	239.06	26.03	24.81	999.44
110114	0720	4.47	0.23	3.91	0.31	3.33	0.20	2.75	0.18	2.02	0.29	224.00	239.00	227.81	26.03	24.81	999.66
110114	0730	5.03	0.21	4.42	0.21	3.87	0.32	2.97	0.31	2.37	0.34	219.00	239.00	229.22	26.03	24.81	999.81
110114	0740	4.85	0.27	4.97	0.27	4.54	0.20	3.65	0.32	2.54	0.42	211.00	239.00	227.81	26.27	24.81	999.88
110114	0750	4.43	0.34	4.72	0.25	4.09	0.44	3.04	0.47	2.05	0.35	207.00	239.00	225.00	26.52	24.93	999.96
110114	0800	3.72	0.61	3.76	0.49	3.10	0.46	1.69	0.55	1.10	0.64	203.00	239.00	219.38	26.64	25.18	999.96
110114	0810	2.24	0.88	1.89	0.88	1.49	0.87	0.68	0.75	0.69	0.66	191.00	239.00	150.47	26.52	25.42	999.96
110114	0820	1.49	0.59	2.22	0.41	2.69	0.23	1.31	0.55	0.79	0.62	200.00	239.00	220.78	26.89	25.54	1000.03
110114	0830	1.88	0.56	2.21	0.41	2.43	0.27	1.36	0.67	1.01	0.56	193.00	239.00	217.97	27.25	25.79	1000.03
110114	0840	2.18	0.33	2.17	0.27	1.91	0.29	0.42	0.40	0.39	0.35	186.00	239.00	213.75	27.25	26.03	1000.03
110114	0850	2.59	0.45	2.04	0.33	1.59	0.52	0.84	0.70	0.83	0.69	181.00	239.00	192.66	27.25	26.27	1000.10
110114	0900	3.02	0.33	2.23	0.46	2.00	0.40	1.66	0.61	1.66	0.50	187.00	239.00	182.81	26.89	26.40	1000.18
110114	0910	3.21	0.33	2.67	0.36	2.71	0.32	2.56	0.34	2.35	0.38	187.00	239.00	188.44	26.64	26.27	1000.18
110114	0920	2.90	0.44	2.62	0.42	2.81	0.35	2.79	0.27	2.71	0.32	186.00	239.00	185.63	26.27	26.15	1000.25
110114	0930	2.70	0.40	2.51	0.38	2.63	0.32	2.47	0.27	2.26	0.34	181.00	239.00	180.00	26.27	26.40	1000.25
110114	0940	2.96	0.45	2.77	0.47	2.73	0.41	2.62	0.40	2.32	0.34	174.00	239.00	180.00	26.40	26.64	1000.32
110114	0950	2.78	0.55	2.60	0.47	2.65	0.38	2.47	0.42	2.27	0.46	162.00	239.00	170.16	26.76	27.01	1000.32
