Date	Time	120mWS	120mSD	90mWS	90mSD	60mWS	60mSD	30mWS	30mSD	10mWS	10mSD	120mDIR	90mDIR	60mDIR	120mTEMP	10mTEMP	PRESS
120114	0000	3.00	0.47	1.97	0.57	1.48	0.61	0.40	0.38	0.29	0.00	6.00	239.00	8.44	24.81	24.57	998.86
120114	0010	2.69	0.63	1.58	0.67	1.75	0.68	0.60	0.55	0.32	0.21	1.00	239.00	0.00	24.81	24.57	998.79
120114	0020	2.03	0.67	1.15	0.46	1.17	0.85	0.36	0.29	0.30	0.10	352.00	239.00	0.00	24.81	24.57	998.64
120114	0030	1.72	0.73	1.15	0.41	0.40	0.31	0.31	0.00	0.29	0.00	0.00	239.00	0.00	24.81	24.57	998.64
120114	0040	1.65	0.69	1.08	0.21	0.87	0.64	0.43	0.42	0.45	0.45	345.00	239.00	330.47	24.81	24.44	998.49
120114	0050	1.21	0.44	1.05	0.00	1.04	0.48	0.44	0.42	0.87	0.57	339.00	239.00	261.56	24.81	24.44	998.35
120114	0100	1.59	0.53	1.15	0.47	1.47	0.57	0.84	0.59	0.90	0.54	305.00	239.00	264.38	24.69	24.44	998.13
120114	0110	1.52	0.58	1.10	0.45	1.44	0.55	0.89	0.63	0.56	0.54	288.00	239.00	255.94	24.69	24.32	998.05
120114	0120	1.26	0.42	1.05	0.18	1.18	0.41	0.31	0.00	0.29	0.00	301.00	239.00	291.09	24.69	24.20	997.91
120114	0130	1.32	0.49	1.04	0.15	0.91	0.54	0.54	0.54	0.51	0.49	346.00	239.00	293.91	24.81	24.32	997.76
120114	0140	2.61	0.83	1.87	0.82	1.44	1.13	0.86	0.89	0.48	0.54	0.00	239.00	348.75	24.81	23.71	997.69
120114	0150	1.91	0.73	1.20	0.48	0.46	0.42	0.31	0.00	0.29	0.00	14.00	239.00	35.16	24.81	23.71	997.61
120114	0200	3.61	0.78	2.52	0.66	1.81	0.42	0.74	0.60	0.37	0.31	30.00	239.00	59.06	24.93	23.71	997.61
120114	0210	4.54	2.11	3.73	1.81	3.26	1.81	2.10	1.28	1.30	0.81	46.00	239.00	73.13	24.81	23.59	997.54
120114	0220	8.16	1.96	7.89	1.82	7.11	1.86	6.20	1.95	4.90	1.93	23.00	239.00	32.34	24.81	24.20	997.39
120114	0230	6.11	0.72	5.76	0.73	5.15	0.83	4.27	1.13	3.55	1.04	18.00	239.00	23.91	24.81	24.69	997.25
120114	0240	5.77	0.53	5.10	0.67	3.71	0.91	2.82	0.79	1.82	0.71	7.00	239.00	12.66	24.69	24.32	997.17
120114	0250	5.19	0.57	4.49	0.69	2.82	0.63	2.24	0.61	1.45	0.57	3.00	239.00	7.03	24.69	24.20	997.10
120114	0300	5.46	0.68	4.56	0.71	3.03	0.68	2.22	0.50	1.25	0.45	4.00	239.00	8.44	24.69	24.08	997.10
120114	0310	5.83	0.75	5.27	0.70	4.15	0.87	3.07	0.78	2.05	0.62	10.00	239.00	14.06	24.57	24.08	997.10
120114	0320	6.55	0.78	5.89	1.03	4.56	1.19	3.18	1.02	2.24	0.72	13.00	239.00	15.47	24.32	23.96	996.95
120114	0330	6.49	0.84	5.93	0.86	4.57	1.02	3.38	0.84	2.31	0.72	13.00	239.00	15.47	24.20	23.96	996.88
120114	0340	6.28	0.71	5.56	0.92	3.91	1.10	2.83	0.79	2.10	0.81	8.00	239.00	11.25	23.96	23.83	996.88
120114	0350	5.85	1.04	4.97	1.04	3.47	0.96	2.63	0.81	1.93	0.61	7.00	239.00	9.84	23.83	23.59	996.88
120114	0400	6.63	0.87	5.71	0.94	4.01	1.04	2.92	0.86	1.99	0.74	8.00	239.00	12.66	23.96	23.47	996.88
120114	0410	6.58	1.05	5.93	0.94	4.42	1.07	3.38	0.77	2.32	0.78	8.00	239.00	12.66	23.96	23.71	996.88
120114	0420	6.45	1.15	5.49	1.12	3.94	1.15	2.88	0.77	2.02	0.63	4.00	239.00	11.25	23.83	23.59	996.88
