Date	Time	120mWS	120mSD	90mWS	90mSD	60mWS	60mSD	30mWS	30mSD	10mWS	10mSD	120mDIR	90mDIR	60mDIR	120mTEMP	10mTEMP	PRESS
030114	0000	2.90	0.51	2.70	0.45	2.48	0.38	2.37	0.32	1.98	0.34	332	342	340.313	25.54	25.42	1001.28
030114	0010	3.20	0.36	2.81	0.42	2.55	0.37	2.32	0.32	2.11	0.31	323	328	324.844	25.30	25.18	1001.20
030114	0020	2.16	0.42	2.13	0.48	2.12	0.46	1.78	0.47	1.55	0.32	312	318	313.594	25.30	25.05	1001.06
030114	0030	2.46	0.37	2.54	0.42	2.47	0.37	2.36	0.23	2.08	0.27	322	332	330.469	25.30	25.18	1000.98
030114	0040	2.55	0.46	2.47	0.45	2.45	0.38	2.11	0.37	1.78	0.32	321	330	329.063	25.18	25.05	1000.91
030114	0050	2.33	0.47	2.34	0.50	2.18	0.38	1.91	0.32	1.59	0.43	340	340	330.469	25.05	25.18	1000.76
030114	0100	2.23	0.54	2.53	0.44	2.32	0.41	2.26	0.27	1.91	0.27	346	343	331.875	25.18	25.05	1000.69
030114	0110	2.74	0.50	2.89	0.42	2.84	0.32	2.75	0.23	2.33	0.27	342	340	331.875	25.30	25.05	1000.54
030114	0120	2.82	0.48	2.98	0.52	2.58	0.38	2.11	0.34	1.79	0.34	1	352	341.719	25.30	25.18	1000.40
030114	0130	3.64	0.23	2.05	0.36	3.18	0.35	2.83	0.31	2.50	0.41	7	3	347.344	25.54	25.05	1000.10
030114	0140	3.49	0.37	2.40	0.57	3.10	0.38	2.35	0.29	1.96	0.32	7	1	345.938	25.54	25.05	999.96
030114	0150	3.07	0.36	2.13	0.58	3.11	0.38	2.52	0.40	2.01	0.40	10	1	341.719	25.54	25.05	999.81
030114	0200	3.19	0.50	2.47	0.73	2.81	0.44	1.87	0.29	1.47	0.35	14	10	347.344	25.54	25.05	999.66
030114	0210	3.63	0.31	2.94	0.69	2.75	0.51	1.92	0.35	1.47	0.27	13	14	354.375	25.54	25.18	999.59
030114	0220	3.44	0.47	2.86	0.64	2.39	0.61	1.75	0.45	1.30	0.46	17	18	0	25.42	25.18	999.37
030114	0230	3.22	0.66	2.52	0.70	2.59	0.79	2.21	0.58	1.79	0.62	7	8	0	25.30	25.18	999.37
030114	0240	3.31	0.64	2.95	0.90	3.23	0.68	2.78	0.58	2.31	0.67	356	1	352.969	25.30	25.30	999.30
030114	0250	3.10	0.63	3.26	0.87	3.14	0.58	2.67	0.54	2.28	0.35	347	354	347.344	25.05	25.18	999.30
030114	0300	2.92	0.68	3.05	0.70	3.09	0.60	2.80	0.55	2.27	0.54	340	350	343.125	25.05	25.18	999.23
030114	0310	2.36	0.53	3.06	0.52	2.99	0.42	2.84	0.41	2.47	0.38	350	352	344.531	24.93	25.05	999.15
030114	0320	2.95	0.57	3.38	0.54	3.01	0.41	2.70	0.37	2.28	0.41	349	350	343.125	24.81	24.81	999.08
030114	0330	3.39	0.70	2.80	0.79	2.78	0.77	2.44	0.62	2.12	0.61	3	4	355.781	24.93	24.93	998.86
030114	0340	4.13	0.47	3.62	0.50	2.55	0.58	1.94	0.49	1.56	0.56	25	28	12.656	24.93	24.93	998.79
030114	0350	3.10	0.66	2.54	0.88	1.83	0.63	1.61	0.43	1.61	0.57	10	13	4.219	24.93	24.93	998.79
030114	0400	2.26	0.48	2.26	0.76	2.51	0.54	2.01	0.51	1.71	0.50	354	0	352.969	24.81	24.93	998.79
030114	0410	2.24	0.62	2.20	0.82	2.39	0.73	2.32	0.48	2.03	0.47	354	359	354.375	24.81	24.93	998.93
030114	0420	2.21	0.60	2.38	0.72	2.52	0.62	2.50	0.54	2.04	0.61	353	359	351.563	24.69	24.93	999.01
030114	0430	2.82	0.68	2.24	0.83	1.43	0.79	1.09	0.67	0.75	0.64	17	23	12.656	24.69	24.93	998.93
030114	0440	2.66	0.50	2.24	0.66	1.69	0.60	1.05	0.68	0.69	0.60	21	28	25.313	24.81	24.93	998.93
