Date	Time	120mWS	120mSD	90mWS	90mSD	60mWS	60mSD	30mWS	30mSD	10mWS	10mSD	120mDIR	90mDIR	60mDIR	120mTEMP	10mTEMP	PRESS
100115	00:00	1.48	0.53	1.12	0.51	1.40	0.46	0.63	0.55	0.29	0.00	145.00	143.00	125.16	25.18	25.18	999.08
100115	00:10	1.55	0.44	1.34	0.65	1.45	0.41	0.38	0.31	0.33	0.23	153.00	167.00	137.81	25.18	25.18	999.01
100115	00:20	1.03	0.23	0.95	0.42	1.10	0.51	0.31	0.00	0.29	0.00	165.00	186.00	143.44	25.05	25.18	998.71
100115	00:30	1.05	0.00	1.02	0.21	1.11	0.20	0.31	0.00	0.29	0.00	166.00	191.00	147.66	25.05	25.18	998.64
100115	00:40	1.52	0.71	1.59	0.67	1.75	0.35	1.16	0.53	0.49	0.50	163.00	174.00	153.28	25.05	24.93	998.57
100115	00:50	1.96	0.36	1.78	0.36	1.88	0.38	1.22	0.63	0.69	0.59	159.00	169.00	156.09	24.93	24.93	998.57
100115	01:00	1.22	0.59	1.11	0.66	1.08	0.44	0.31	0.00	0.29	0.00	158.00	170.00	151.88	24.93	24.81	998.35
100115	01:10	1.16	0.41	1.19	0.67	1.02	0.62	0.32	0.15	0.29	0.00	165.00	174.00	151.88	24.93	24.93	998.13
100115	01:20	1.02	0.37	0.87	0.47	1.00	0.49	0.31	0.00	0.29	0.00	173.00	176.00	151.88	25.05	24.93	997.98
100115	01:30	1.29	0.39	0.94	0.49	1.09	0.47	0.31	0.00	0.29	0.00	174.00	176.00	151.88	24.93	24.81	997.83
100115	01:40	1.64	0.36	1.50	0.42	1.40	0.47	0.31	0.10	0.29	0.00	177.00	191.00	160.31	24.93	24.81	997.76
100115	01:50	1.62	0.37	1.51	0.49	1.31	0.55	0.31	0.00	0.29	0.00	186.00	200.00	174.38	24.81	24.81	997.76
100115	02:00	1.11	0.58	1.08	0.37	1.05	0.29	0.31	0.00	0.29	0.00	186.00	207.00	192.66	24.81	24.69	997.69
100115	02:10	1.22	0.73	0.98	0.33	0.98	0.35	0.31	0.00	0.29	0.00	186.00	210.00	196.88	24.93	24.69	997.61
100115	02:20	1.18	0.67	0.85	0.45	0.96	0.42	0.31	0.00	0.29	0.00	186.00	218.00	223.59	24.81	24.57	997.54
100115	02:30	1.03	0.33	1.04	0.21	1.12	0.55	0.31	0.00	0.29	0.00	215.00	250.00	247.50	24.81	24.57	997.47
100115	02:40	1.06	0.25	1.05	0.00	1.08	0.00	0.31	0.00	0.29	0.00	226.00	250.00	250.31	24.69	24.57	997.47
100115	02:50	1.21	0.49	1.04	0.18	1.08	0.00	0.31	0.00	0.29	0.00	203.00	231.00	250.31	24.69	24.57	997.47
100115	03:00	1.11	0.61	1.01	0.25	1.08	0.00	0.31	0.00	0.29	0.00	197.00	215.00	250.31	24.69	24.69	997.47
100115	03:10	1.34	0.62	0.97	0.34	1.05	0.20	0.31	0.00	0.29	0.00	204.00	224.00	250.31	24.57	24.69	997.47
100115	03:20	1.15	0.70	0.97	0.47	1.14	0.48	0.31	0.00	0.29	0.00	212.00	238.00	239.06	24.69	24.69	997.39
100115	03:30	1.03	0.25	1.04	0.10	1.05	0.61	0.31	0.00	0.29	0.00	226.00	264.00	239.06	24.57	24.69	997.39
100115	03:40	1.03	0.10	1.05	0.00	1.06	0.42	0.32	0.15	0.29	0.00	226.00	280.00	239.06	24.57	24.69	997.39
100115	03:50	1.05	0.00	1.05	0.00	1.08	0.00	0.31	0.00	0.29	0.00	226.00	280.00	239.06	24.57	24.57	997.39
100115	04:00	1.05	0.00	1.05	0.00	1.08	0.00	0.31	0.00	0.29	0.00	222.00	280.00	239.06	24.57	24.57	997.47
100115	04:10	1.05	0.00	1.05	0.00	1.08	0.00	0.31	0.00	0.29	0.00	222.00	280.00	239.06	24.57	24.57	997.47
100115	04:20	1.05	0.00	1.05	0.00	1.08	0.00	0.31	0.00	0.29	0.00	222.00	280.00	239.06	24.57	24.57	997.39
100115	04:30	1.14	0.39	1.16	0.45	1.11	0.25	0.34	0.21	0.31	0.18	215.00	262.00	248.91	24.44	24.57	997.39
100115	04:40	1.05	0.00	1.05	0.00	1.08	0.00	0.31	0.00	0.29	0.00	217.00	257.00	257.34	24.57	24.57	997.47
100115	04:50	1.05	0.00	1.05	0.00	1.08	0.00	0.31	0.00	0.29	0.00	217.00	259.00	257.34	24.57	24.57	997.54
100115	05:00	1.05	0.00	1.05	0.00	1.08	0.00	0.31	0.00	0.29	0.00	217.00	259.00	257.34	24.69	24.57	997.54
100115	05:10	1.41	0.56	1.01	0.31	1.08	0.00	0.31	0.00	0.29	0.00	197.00	242.00	257.34	24.44	24.69	997.61
100115	05:20	2.03	0.31	1.19	0.68	1.07	0.10	0.31	0.00	0.29	0.00	184.00	208.00	257.34	24.44	24.69	997.61
100115	05:30	1.99	0.39	1.12	0.59	1.08	0.10	0.31	0.00	0.29	0.00	184.00	210.00	254.53	24.57	24.57	997.69
100115	05:40	2.32	0.47	1.66	0.63	1.11	0.42	0.31	0.00	0.29	0.00	177.00	198.00	206.72	24.69	24.69	997.69
100115	05:50	2.43	0.52	1.78	0.57	1.41	0.56	0.46	0.46	0.29	0.00	181.00	207.00	205.31	24.69	24.57	997.69
100115	06:00	2.02	0.47	1.59	0.51	1.15	0.56	0.31	0.00	0.29	0.00	191.00	211.00	209.53	24.69	24.69	997.83
100115	06:10	1.52	0.69	1.19	0.61	1.07	0.44	0.31	0.00	0.29	0.00	188.00	218.00	222.19	24.81	24.81	998.05
100115	06:20	1.41	0.54	1.20	0.56	1.10	0.41	0.31	0.00	0.29	0.00	201.00	218.00	229.22	24.81	24.69	998.35
100115	06:30	1.10	0.46	1.05	0.37	1.09	0.23	0.31	0.00	0.29	0.00	194.00	231.00	232.03	24.81	24.69	998.49
100115	06:40	1.05	0.42	1.05	0.15	1.04	0.38	0.31	0.00	0.29	0.00	193.00	214.00	217.97	24.81	24.81	998.64
100115	06:50	1.07	0.29	1.05	0.00	1.08	0.00	0.31	0.00	0.29	0.00	208.00	228.00	217.97	24.81	24.81	998.79
100115	07:00	1.04	0.36	1.05	0.00	1.08	0.00	0.31	0.00	0.29	0.00	201.00	229.00	217.97	24.93	25.05	998.93
100115	07:10	1.26	0.58	1.05	0.00	1.08	0.00	0.31	0.00	0.29	0.00	193.00	238.00	217.97	24.81	25.18	999.01
100115	07:20	1.25	0.54	1.04	0.27	1.06	0.23	0.31	0.00	0.29	0.00	180.00	211.00	217.97	24.93	25.42	999.23
100115	07:30	1.38	0.64	1.10	0.34	1.10	0.25	0.31	0.00	0.29	0.00	179.00	181.00	177.19	25.05	25.66	999.37
100115	07:40	1.02	0.23	1.05	0.00	1.08	0.00	0.31	0.00	0.33	0.29	174.00	215.00	172.97	25.30	26.03	999.44
100115	07:50	1.14	0.48	1.13	0.45	1.07	0.48	0.37	0.34	0.33	0.23	155.00	201.00	175.78	25.54	26.27	999.52
