Date	Time	120mWS	120mSD	90mWS	90mSD	60mWS	60mSD	30mWS	30mSD	10mWS	10mSD	120mDIR	90mDIR	60mDIR	120mTEMP	10mTEMP	PRESS
20115	0000	4.34	0.54	3.56	0.64	2.32	0.64	2.73	0.23	2.13	0.21	28	34	5.63	23.71	22.73	1003.69
20115	0010	4.4	0.46	3.61	0.37	2.11	0.63	2.62	0.21	1.46	0.23	34	37	9.84	23.71	22.61	1003.62
20115	0020	4.52	0.34	3.78	0.29	2.25	0.65	2.36	0.23	1.34	0.42	32	34	11.25	23.59	22.49	1003.69
20115	0030	4.92	0.29	4.29	0.33	3.12	0.37	1.57	0.64	1.58	0.18	34	39	19.69	23.47	22.25	1003.62
20115	0040	4.99	0.33	4.43	0.25	3.36	0.43	1.26	0.42	1.49	0.18	37	39	16.88	23.35	22.25	1003.47
20115	0050	4.8	0.41	4.38	0.34	2.86	0.66	1.44	0.68	1.18	0.35	31	35	14.06	23.22	22.12	1003.4
20115	0100	5.21	0.57	4.72	0.63	3.26	0.89	1.96	0.49	1.63	0.4	25	34	14.06	23.1	22.12	1003.33
20115	0110	5.01	0.52	4.6	0.66	2.77	0.87	2.67	0.68	2.36	0.25	17	25	5.63	23.1	22.12	1003.11
20115	0120	4.99	0.63	4.56	0.72	2.99	0.78	2.34	0.71	2.3	0.31	13	24	7.03	22.86	22.12	1002.89
20115	0130	5.17	0.76	4.72	0.92	3.14	0.94	2.01	0.66	1.84	0.49	14	25	8.44	22.73	22.12	1002.74
20115	0140	5.85	0.91	5.15	1.06	3.94	1.06	2.75	0.79	2.02	0.6	18	31	16.88	22.61	22.25	1002.59
20115	0150	4.57	0.98	3.88	0.95	2.63	1.06	1.47	0.68	1.5	0.52	20	31	12.66	22.61	22.12	1002.59
20115	0200	4.52	0.9	4	0.92	2.94	0.96	1.84	0.98	1.49	0.62	17	28	12.66	22.49	22	1002.52
20115	0210	3.98	0.85	3.13	0.87	2.28	0.73	1.91	0.42	1.57	0.35	13	23	2.81	22.37	22	1002.59
20115	0220	3.99	0.58	3.31	0.55	2.03	0.71	1.04	0.72	1.01	0.51	17	30	11.25	22.25	21.88	1002.59
20115	0230	3.99	0.48	3.28	0.47	1.96	0.76	0.98	0.7	0.95	0.43	20	28	9.84	22.25	21.76	1002.52
20115	0240	4.12	0.53	3.65	0.48	2.26	0.76	0.72	0.65	0.88	0.57	18	31	12.66	22.12	21.64	1002.45
