Date	Time	120mWS	120mSD	90mWS	90mSD	60mWS	60mSD	30mWS	30mSD	10mWS	10mSD	120mDIR	90mDIR	60mDIR	120mTEMP	10mTEMP	PRESS
070115	00:00	6.54	0.85	5.70	0.90	4.89	0.63	3.89	0.58	2.83	0.48	270.00	287.00	279.84	27.74	27.74	999.66
070115	00:10	7.62	0.99	7.21	0.85	6.23	0.77	5.11	0.83	4.11	0.80	269.00	285.00	277.03	27.74	27.74	999.66
070115	00:20	6.79	0.86	6.24	0.78	5.33	0.55	4.47	0.63	3.58	0.66	266.00	283.00	272.81	27.74	27.74	999.59
070115	00:30	7.86	0.71	7.47	0.67	6.42	0.72	5.13	0.78	4.09	0.82	270.00	285.00	278.44	27.74	27.74	999.52
070115	00:40	8.01	0.92	7.37	0.94	6.50	0.78	5.55	0.80	4.44	0.89	271.00	288.00	281.25	27.74	27.74	999.44
070115	00:50	8.24	0.82	7.69	0.82	6.91	0.85	5.92	0.74	4.86	0.82	274.00	290.00	284.06	27.74	27.62	999.37
070115	01:00	6.85	1.06	6.33	0.99	5.58	0.88	4.64	0.86	3.49	0.94	274.00	291.00	285.47	27.62	27.62	999.37
070115	01:10	8.18	1.18	7.63	1.23	6.54	1.23	5.49	1.47	4.47	1.39	269.00	285.00	279.84	27.62	27.74	999.37
070115	01:20	9.49	1.02	8.64	1.12	7.30	1.09	6.30	0.90	5.43	0.90	269.00	285.00	277.03	27.62	27.74	999.23
070115	01:30	9.06	1.03	8.62	1.17	7.90	1.04	6.67	1.17	5.37	0.94	269.00	284.00	277.03	27.74	27.86	999.15
070115	01:40	8.41	0.71	7.81	0.94	6.73	0.87	5.77	0.81	4.84	0.84	269.00	285.00	277.03	27.74	27.86	999.08
070115	01:50	7.95	0.80	7.47	0.89	6.68	0.85	5.56	0.79	4.57	0.79	267.00	284.00	275.63	27.74	27.74	998.86
070115	02:00	7.42	0.40	7.11	0.50	6.41	0.53	5.37	0.60	4.28	0.64	267.00	283.00	272.81	27.74	27.62	998.79
070115	02:10	7.48	1.06	6.97	1.05	6.32	0.86	5.44	0.64	4.17	0.66	270.00	285.00	277.03	27.74	27.74	998.64
070115	02:20	6.55	0.73	6.21	0.75	5.60	0.60	4.80	0.59	3.73	0.53	273.00	290.00	282.66	27.62	27.62	998.57
070115	02:30	7.53	1.20	6.89	1.29	5.99	1.21	5.11	1.26	4.08	1.26	266.00	283.00	272.81	27.74	27.74	998.42
070115	02:40	9.42	1.15	8.79	1.16	7.96	1.14	6.78	1.24	5.80	1.33	264.00	280.00	271.41	27.74	27.74	998.35
070115	02:50	9.29	1.00	8.70	1.05	7.91	1.01	6.70	0.93	5.57	0.88	269.00	284.00	277.03	27.74	27.74	998.20
070115	03:00	9.48	1.35	8.71	1.35	8.02	1.20	6.95	1.13	5.70	1.02	267.00	284.00	277.03	27.74	27.62	998.13
070115	03:10	10.49	0.94	9.75	1.04	8.55	0.99	7.06	1.15	5.93	0.97	266.00	283.00	274.22	27.74	27.86	998.13
070115	03:20	10.59	0.83	9.76	0.94	8.55	0.94	7.46	0.99	6.47	1.13	266.00	283.00	274.22	27.74	27.74	998.05
070115	03:30	9.92	1.07	9.26	1.18	8.31	1.14	7.19	1.22	6.11	1.08	266.00	283.00	274.22	27.74	27.74	998.13
070115	03:40	9.55	0.73	9.09	0.97	8.06	0.99	6.86	0.95	5.81	0.96	266.00	283.00	274.22	27.62	27.62	998.05
070115	03:50	10.13	1.12	9.60	1.13	8.63	0.84	7.33	0.97	6.15	0.91	266.00	283.00	272.81	27.62	27.62	998.05
