Date	Time	120mWS	120mSD	90mWS	90mSD	60mWS	60mSD	30mWS	30mSD	10mWS	10mSD	120mDIR	90mDIR	60mDIR	120mTEMP	10mTEMP	PRESS
090115	00:00	7.25	0.78	6.79	0.91	6.27	0.79	5.47	0.79	4.72	0.81	271.00	288.00	279.84	28.11	28.35	997.91
090115	00:10	6.84	0.91	6.51	0.84	5.96	0.70	5.36	0.70	4.63	0.72	273.00	290.00	281.25	28.23	28.35	997.98
090115	00:20	6.49	0.68	6.10	0.72	5.73	0.58	5.01	0.66	4.39	0.65	271.00	287.00	279.84	28.11	28.35	997.91
090115	00:30	6.15	0.55	6.00	0.63	5.52	0.62	4.86	0.67	4.21	0.67	271.00	285.00	277.03	28.11	28.35	997.91
090115	00:40	6.00	0.76	5.93	0.73	5.47	0.57	4.58	0.72	3.92	0.53	271.00	288.00	279.84	28.11	28.23	997.76
090115	00:50	5.58	0.69	5.38	0.73	4.97	0.61	4.45	0.48	3.75	0.49	269.00	285.00	275.63	28.11	28.11	997.69
090115	01:00	6.11	0.47	5.96	0.53	5.26	0.50	4.41	0.49	3.63	0.50	269.00	284.00	274.22	27.98	28.23	997.61
090115	01:10	6.01	0.61	5.51	0.72	4.98	0.68	4.43	0.79	3.61	0.75	270.00	285.00	277.03	27.98	27.98	997.54
090115	01:20	6.69	0.61	6.22	0.70	5.65	0.65	4.84	0.58	4.08	0.64	269.00	285.00	278.44	27.86	27.98	997.47
090115	01:30	7.14	0.62	6.58	0.73	5.84	0.59	5.08	0.53	4.41	0.56	270.00	285.00	278.44	27.86	27.98	997.25
090115	01:40	6.67	0.58	6.17	0.56	5.40	0.51	4.57	0.46	3.53	0.54	269.00	285.00	278.44	27.74	27.86	997.17
090115	01:50	6.84	0.44	6.37	0.47	5.55	0.47	4.49	0.48	3.78	0.53	269.00	285.00	277.03	27.74	27.86	997.03
090115	02:00	6.87	0.63	6.53	0.65	5.68	0.51	4.57	0.55	3.67	0.54	271.00	287.00	279.84	27.86	27.74	997.03
090115	02:10	6.37	0.54	6.01	0.67	5.35	0.71	4.46	0.71	3.52	0.71	274.00	293.00	286.88	27.74	27.74	996.95
090115	02:20	6.12	0.51	5.80	0.63	5.16	0.58	4.16	0.70	3.17	0.61	270.00	287.00	281.25	27.74	27.62	996.95
090115	02:30	6.32	0.69	5.97	0.65	5.14	0.56	4.33	0.59	3.54	0.62	269.00	284.00	278.44	27.62	27.74	996.95
090115	02:40	6.82	0.62	6.42	0.69	5.63	0.70	4.73	0.75	3.70	0.69	270.00	285.00	277.03	27.62	27.50	996.81
090115	02:50	6.77	0.69	6.23	0.73	5.50	0.75	4.42	0.79	3.47	0.68	273.00	290.00	282.66	27.50	27.62	996.66
090115	03:00	5.75	0.63	5.45	0.63	4.73	0.74	3.91	0.69	3.08	0.72	274.00	291.00	284.06	27.50	27.62	996.52
090115	03:10	5.38	0.42	5.14	0.51	4.48	0.42	3.70	0.38	2.73	0.46	274.00	290.00	284.06	27.50	27.50	996.44
090115	03:20	5.94	0.48	5.42	0.64	4.55	0.66	3.48	0.69	2.42	0.66	278.00	295.00	289.69	27.50	27.50	996.37
090115	03:30	5.76	0.34	5.55	0.41	5.02	0.51	4.06	0.61	3.19	0.59	274.00	293.00	286.88	27.50	27.37	996.44
090115	03:40	5.92	0.45	5.53	0.50	4.91	0.50	3.79	0.61	2.81	0.59	273.00	291.00	286.88	27.37	27.50	996.44
090115	03:50	5.48	0.44	5.14	0.53	4.65	0.48	3.54	0.51	2.58	0.49	273.00	290.00	284.06	27.37	27.37	996.44
090115	04:00	5.55	0.45	5.22	0.47	4.52	0.44	3.55	0.49	2.58	0.46	271.00	288.00	281.25	27.37	27.50	996.52
090115	04:10	5.18	0.51	4.80	0.49	4.11	0.42	3.18	0.43	2.21	0.64	271.00	288.00	282.66	27.37	27.25	996.52
090115	04:20	5.13	0.53	4.81	0.46	3.88	0.38	2.97	0.38	1.99	0.38	271.00	288.00	284.06	27.37	27.25	996.66
090115	04:30	5.39	0.45	4.94	0.42	4.34	0.47	3.14	0.43	2.02	0.42	274.00	291.00	288.28	27.37	27.13	996.66
090115	04:40	5.37	0.48	4.82	0.52	3.99	0.46	3.09	0.34	1.98	0.37	271.00	290.00	284.06	27.37	27.13	996.73
090115	04:50	5.31	0.49	4.81	0.44	3.84	0.42	2.74	0.29	1.66	0.29	270.00	287.00	281.25	27.37	27.01	996.73
090115	05:00	5.64	0.41	5.20	0.45	4.23	0.41	3.08	0.27	1.74	0.31	273.00	290.00	284.06	27.50	27.01	996.81
090115	05:10	6.24	0.46	5.52	0.50	4.39	0.40	3.09	0.27	1.88	0.29	273.00	290.00	284.06	27.50	27.01	996.88
090115	05:20	6.59	0.41	5.97	0.54	4.81	0.56	3.33	0.48	1.94	0.38	269.00	285.00	278.44	27.50	26.76	996.95
090115	05:30	6.33	0.52	5.71	0.56	4.67	0.46	3.23	0.32	1.77	0.42	270.00	287.00	281.25	27.50	26.89	997.03
090115	05:40	5.69	0.51	5.13	0.51	4.07	0.40	2.73	0.40	1.33	0.53	271.00	290.00	284.06	27.50	26.76	997.10
090115	05:50	5.37	0.45	4.98	0.46	3.99	0.42	2.74	0.43	1.41	0.48	276.00	294.00	289.69	27.50	26.76	997.17
090115	06:00	5.11	0.37	4.57	0.44	3.90	0.37	3.10	0.21	1.73	0.25	277.00	294.00	289.69	27.50	26.76	997.32
090115	06:10	5.06	0.33	4.57	0.33	4.07	0.29	2.92	0.34	1.42	0.41	277.00	295.00	291.09	27.50	26.76	997.32
090115	06:20	5.19	0.36	4.59	0.38	3.83	0.25	2.72	0.31	1.17	0.45	277.00	294.00	289.69	27.50	26.76	997.32
090115	06:30	5.00	0.25	4.59	0.34	3.97	0.32	2.70	0.34	1.20	0.43	278.00	298.00	293.91	27.50	26.76	997.32
090115	06:40	5.23	0.27	4.83	0.44	4.03	0.41	2.77	0.38	1.59	0.40	281.00	301.00	298.13	27.62	26.89	997.32
090115	06:50	5.13	0.25	4.96	0.34	4.18	0.32	2.83	0.43	1.54	0.56	276.00	295.00	291.09	27.62	27.13	997.39
090115	07:00	5.22	0.23	4.99	0.38	4.02	0.35	2.69	0.34	1.64	0.43	276.00	294.00	289.69	27.62	27.37	997.47
090115	07:10	5.15	0.29	4.75	0.38	4.03	0.46	3.02	0.45	2.18	0.58	278.00	297.00	293.91	27.74	27.74	997.54
090115	07:20	4.91	0.41	4.48	0.61	3.67	0.61	3.16	0.51	2.54	0.50	281.00	298.00	291.09	27.98	27.98	997.69
090115	07:30	4.18	0.47	4.22	0.47	3.70	0.46	3.22	0.45	2.81	0.50	280.00	295.00	288.28	28.23	28.11	997.76
090115	07:40	3.48	0.51	3.59	0.53	3.30	0.50	3.07	0.47	2.70	0.45	284.00	298.00	293.91	28.23	28.47	997.83
090115	07:50	3.15	0.47	3.48	0.49	3.54	0.46	3.29	0.58	2.91	0.66	288.00	298.00	289.69	28.72	28.84	997.83
090115	08:00	2.59	0.49	3.22	0.44	3.17	0.41	2.90	0.48	2.69	0.48	288.00	298.00	288.28	29.08	29.08	997.98
090115	08:10	2.69	0.54	3.27	0.48	3.22	0.48	2.95	0.48	2.81	0.50	281.00	293.00	281.25	29.45	29.33	998.13
090115	08:20	1.83	0.75	2.47	0.56	2.36	0.63	1.91	0.82	1.93	0.65	295.00	305.00	296.72	29.81	29.81	998.20
090115	08:30	1.35	0.60	1.75	0.95	1.57	0.65	0.53	0.61	0.58	0.65	329.00	311.00	323.44	30.67	30.30	998.20
090115	08:40	1.22	0.48	1.81	0.74	2.00	0.70	1.01	0.79	0.83	0.81	339.00	350.00	344.53	31.52	30.79	998.35
090115	08:50	1.55	0.68	2.08	0.82	1.99	0.76	1.43	1.00	1.13	0.92	307.00	326.00	327.66	31.89	30.79	998.27
090115	09:00	1.80	0.94	2.35	0.78	2.22	0.68	1.59	0.83	1.37	0.87	338.00	1.00	357.19	32.01	30.79	998.35
090115	09:10	2.04	0.82	2.61	0.76	2.58	0.62	2.02	1.00	1.78	0.92	333.00	347.00	338.91	32.13	31.04	998.27
090115	09:20	1.49	0.95	1.95	0.83	1.87	0.74	1.14	1.02	1.12	1.16	329.00	340.00	338.91	32.26	31.28	998.20
090115	09:30	2.21	0.66	2.58	0.69	2.29	0.80	2.13	0.79	2.02	0.69	8.00	23.00	19.69	32.01	31.28	998.13
090115	09:40	2.35	0.96	2.72	1.02	2.40	1.00	1.72	1.16	1.91	1.13	295.00	319.00	312.19	31.77	31.52	998.05
090115	09:50	1.57	0.80	1.73	0.82	1.44	0.87	0.81	0.87	0.78	0.98	333.00	342.00	350.16	32.50	32.26	997.98
090115	10:00	1.90	0.91	2.27	1.00	2.24	0.92	1.31	1.02	1.26	0.93	336.00	359.00	4.22	32.99	32.62	997.91
090115	10:10	1.74	0.72	2.33	0.84	2.22	0.84	1.91	1.11	1.41	1.08	333.00	322.00	310.78	33.23	32.26	997.83
090115	10:20	1.41	0.78	1.54	0.81	1.15	0.90	0.77	0.79	0.57	0.60	325.00	312.00	338.91	33.60	32.99	997.76
090115	10:30	2.99	0.85	3.34	0.95	3.20	0.97	2.64	0.95	2.50	0.93	278.00	288.00	275.63	32.99	33.35	997.69
090115	10:40	1.96	0.87	2.38	0.74	2.26	0.87	1.97	1.06	1.97	1.01	255.00	271.00	261.56	32.74	32.99	997.61
090115	10:50	1.27	0.56	1.57	0.72	1.40	0.74	0.81	0.90	0.91	0.93	257.00	248.00	226.41	33.23	33.48	997.54
090115	11:00	1.34	0.80	2.01	1.15	1.81	1.24	1.40	1.33	1.21	1.33	266.00	291.00	268.59	33.35	33.72	997.39
090115	11:10	3.07	0.72	3.15	0.88	3.17	1.07	3.02	1.09	2.71	1.18	308.00	319.00	293.91	34.09	33.72	997.25
090115	11:20	2.22	1.16	2.66	1.00	2.42	0.95	2.22	0.92	2.10	0.99	311.00	323.00	295.31	34.09	33.72	997.17
090115	11:30	1.49	0.71	2.00	0.60	2.00	0.54	1.54	0.72	1.37	0.89	262.00	281.00	270.00	34.33	33.84	997.17
090115	11:40	1.28	0.52	1.69	0.73	1.72	0.59	1.23	0.75	1.42	0.87	212.00	232.00	226.41	34.09	34.33	997.03
090115	11:50	2.34	1.26	2.52	1.22	2.18	1.22	1.73	1.30	1.60	1.23	203.00	229.00	229.22	34.21	34.70	996.88
090115	12:00	2.16	0.91	2.70	0.85	2.79	0.88	2.73	1.10	2.71	1.22	167.00	193.00	188.44	33.97	34.58	996.66
090115	12:10	1.78	0.75	2.50	0.80	2.40	0.85	2.03	0.82	1.77	0.98	162.00	177.00	167.34	34.45	35.06	996.44
090115	12:20	1.28	0.69	1.62	0.79	1.62	0.80	0.95	0.98	0.82	0.84	190.00	179.00	202.50	34.70	35.31	996.37
090115	12:30	1.57	1.02	2.08	0.80	1.81	0.94	1.29	1.02	1.13	0.94	149.00	160.00	151.88	34.82	35.43	996.15
090115	12:40	2.27	1.04	2.63	1.06	2.78	0.90	2.25	1.15	2.24	1.05	211.00	221.00	208.13	34.58	35.06	996.00
090115	12:50	3.62	1.39	3.70	1.61	3.57	1.83	3.53	2.04	3.58	2.04	267.00	284.00	243.28	34.70	35.31	995.78
090115	13:00	3.52	1.06	3.62	0.93	3.59	0.99	3.20	0.97	3.03	0.99	263.00	290.00	288.28	35.19	35.55	995.64
090115	13:10	2.36	0.83	2.76	0.80	2.49	0.97	1.97	1.27	2.06	1.13	236.00	252.00	234.84	34.94	35.80	995.56
090115	13:20	1.36	0.72	1.59	0.79	1.49	0.80	1.08	0.86	1.22	0.92	231.00	259.00	253.13	35.67	36.28	995.34
090115	13:30	1.76	0.90	2.49	0.93	2.41	0.84	1.63	1.00	1.75	0.59	281.00	356.00	352.97	36.04	36.65	995.12
090115	13:40	2.65	1.03	2.88	0.89	2.80	0.79	2.49	0.76	2.26	0.94	219.00	240.00	237.66	35.80	36.65	994.90
090115	13:50	1.55	0.68	2.07	0.72	1.98	0.78	1.43	1.24	1.48	1.20	274.00	276.00	272.81	36.04	36.90	994.76
090115	14:00	2.51	1.48	2.86	1.67	2.92	1.49	2.56	1.85	2.43	1.70	285.00	295.00	323.44	36.53	37.38	994.54
090115	14:10	3.95	0.85	4.05	0.76	3.86	0.77	3.47	0.66	3.24	0.86	274.00	288.00	278.44	36.04	37.02	994.46
090115	14:20	2.92	1.76	3.25	1.54	3.13	1.25	2.56	1.25	2.19	1.33	267.00	284.00	271.41	36.16	37.02	994.24
090115	14:30	5.58	1.19	5.62	1.36	5.54	1.39	5.32	1.45	4.98	1.67	259.00	273.00	262.97	35.80	36.77	994.02
090115	14:40	6.34	1.25	6.48	1.28	6.50	1.23	6.20	1.46	5.58	1.64	262.00	277.00	270.00	35.43	36.41	993.95
090115	14:50	7.00	1.12	7.17	0.99	7.02	0.97	6.57	1.31	6.08	1.39	253.00	271.00	262.97	35.43	36.41	993.81
090115	15:00	5.84	1.49	5.72	1.47	5.56	1.50	5.16	1.30	4.90	1.30	267.00	284.00	275.63	35.19	36.16	993.81
090115	15:10	6.69	1.04	6.85	0.94	6.90	0.93	6.53	1.21	6.05	1.34	248.00	263.00	253.13	35.19	36.16	993.66
090115	15:20	7.99	1.45	7.92	1.34	7.61	1.26	7.14	1.38	6.41	1.46	264.00	283.00	272.81	35.06	35.80	993.51
090115	15:30	9.13	1.07	9.32	1.10	8.92	1.24	8.79	1.62	8.26	1.64	263.00	280.00	271.41	34.82	35.80	993.37
090115	15:40	8.62	1.21	8.93	1.38	8.58	1.42	8.06	1.54	7.41	1.41	262.00	278.00	270.00	34.70	35.43	993.22
090115	15:50	8.95	1.05	8.98	1.21	8.46	1.22	7.91	1.31	7.29	1.48	256.00	274.00	265.78	34.58	35.55	993.15
