Date	Time	120mWS	120mSD	90mWS	90mSD	60mWS	60mSD	30mWS	30mSD	10mWS	10mSD	120mDIr	90mDIR	60mDIR	120mTemp	10mTemp	Press
020116	0000	6.41	0.45	5.67	0.34	4.62	0.23	3.40	0.23	1.99	0.23	53	59	52	24.1	22.9	1,002.74
020116	0010	6.35	0.40	5.65	0.40	4.57	0.44	3.30	0.31	1.95	0.29	55	62	53	24.1	22.7	1,002.81
020116	0020	5.89	0.83	4.95	0.57	3.85	0.35	2.59	0.25	1.48	0.23	58	65	56	24.1	22.7	1,002.74
020116	0030	5.75	0.54	4.82	0.53	3.77	0.47	2.64	0.29	1.61	0.23	59	68	62	23.8	22.6	1,002.67
020116	0040	5.89	0.39	5.16	0.37	3.97	0.37	2.82	0.21	1.68	0.21	56	65	58	23.7	22.5	1,002.59
020116	0050	5.07	0.57	4.21	0.58	3.10	0.44	2.10	0.43	1.00	0.63	53	60	53	23.7	22.5	1,002.52
020116	0100	4.08	0.44	3.26	0.40	2.14	0.42	1.34	0.46	0.82	0.53	48	52	45	23.6	22.5	1,002.37
020116	0110	4.21	0.44	3.83	0.48	2.76	0.43	1.30	0.42	0.29	0.00	46	49	38	23.5	22.5	1,002.23
020116	0120	5.36	0.33	4.74	0.34	3.69	0.34	2.48	0.32	0.69	0.59	44	45	35	23.5	22.5	1,002.15
020116	0130	5.26	0.29	5.00	0.33	4.07	0.35	2.44	0.51	0.78	0.56	39	41	28	23.5	22.4	1,002.01
020116	0140	6.06	0.33	5.77	0.27	4.64	0.25	3.41	0.29	1.71	0.76	39	41	28	23.5	22.2	1,001.86
020116	0150	6.09	0.42	5.28	0.53	4.13	0.44	2.19	0.77	1.00	0.92	37	38	24	23.2	22.2	1,001.86
020116	0200	4.71	0.49	3.91	0.47	2.66	0.80	0.92	0.63	0.29	0.00	32	34	20	23.2	22.1	1,001.86
020116	0210	3.52	0.61	2.38	0.70	1.79	0.79	1.00	0.50	0.54	0.56	20	13	347	23.1	22.1	1,001.79
020116	0220	3.04	0.55	2.07	0.64	1.58	0.63	1.25	0.42	1.30	0.15	14	3	325	23.0	21.9	1,001.72
020116	0230	3.35	0.36	1.69	0.44	1.32	0.57	0.97	0.52	1.46	0.21	15	7	332	22.9	21.8	1,001.57
020116	0240	3.10	0.52	2.09	0.48	1.77	0.62	1.43	0.29	1.67	0.15	10	1	330	22.7	21.9	1,001.50
020116	0250	2.89	0.81	2.37	0.54	2.25	0.41	1.64	0.37	1.39	0.15	7	0	335	22.6	21.8	1,001.42
020116	0300	2.40	0.55	2.57	0.58	2.15	0.47	1.79	0.25	1.36	0.18	0	354	333	22.6	21.8	1,001.35
020116	0310	2.51	0.63	2.76	0.49	2.39	0.49	2.21	0.32	1.68	0.23	354	350	326	22.6	21.8	1,001.20
020116	0320	2.78	0.63	3.10	0.46	2.66	0.41	2.28	0.18	1.70	0.18	353	349	326	22.5	21.8	1,001.13
020116	0330	3.14	0.64	3.25	0.55	3.00	0.42	2.64	0.35	1.78	0.23	350	347	326	22.4	21.8	1,001.06
020116	0340	4.00	0.53	3.75	0.44	3.34	0.34	2.95	0.21	1.94	0.21	345	342	326	22.4	21.8	1,000.98
020116	0350	3.69	0.55	3.54	0.44	3.12	0.40	2.77	0.25	1.57	0.31	345	340	321	22.4	21.8	1,000.91
020116	0400	3.26	0.50	3.38	0.47	2.98	0.32	2.46	0.27	1.14	0.53	346	343	323	22.4	21.6	1,000.98
020116	0410	3.67	0.52	3.42	0.41	2.79	0.34	2.22	0.23	1.23	0.25	350	347	329	22.2	21.5	1,001.06
020116	0420	3.51	0.54	3.41	0.40	2.64	0.40	1.81	0.21	0.92	0.47	353	353	333	22.2	21.5	1,001.13
020116	0430	3.64	0.52	3.46	0.41	2.71	0.38	1.95	0.23	1.42	0.15	352	350	330	22.1	21.5	1,001.20
020116	0440	4.04	0.46	3.50	0.40	2.73	0.32	2.23	0.18	1.65	0.15	347	343	322	22.2	21.5	1,001.28
020116	0450	3.77	0.50	3.56	0.42	2.72	0.34	2.25	0.15	1.47	0.15	350	346	322	22.1	21.4	1,001.35
020116	0500	4.14	0.54	3.90	0.46	3.10	0.40	2.45	0.21	1.58	0.18	352	352	330	22.1	21.4	1,001.28
020116	0510	4.72	0.59	4.52	0.40	3.70	0.37	3.07	0.21	1.89	0.21	353	353	335	22.2	21.4	1,001.28
020116	0520	4.88	0.78	4.98	0.42	4.29	0.31	3.46	0.27	2.09	0.38	353	354	336	22.1	21.3	1,001.35
020116	0530	4.74	0.78	5.21	0.38	4.49	0.38	3.45	0.29	2.07	0.37	356	356	338	22.2	21.3	1,001.42
020116	0540	4.34	0.52	5.53	0.38	4.70	0.35	3.43	0.37	2.09	0.29	1	359	339	22.1	21.3	1,001.50
020116	0550	4.25	0.56	5.33	0.67	4.87	0.38	3.49	0.35	2.07	0.40	1	1	342	22.2	21.1	1,001.64
020116	0600	4.40	0.76	4.51	0.73	4.96	0.42	3.43	0.35	2.06	0.32	3	3	347	22.1	21.3	1,001.72
