Date	Time	120mWS	120mSD	90mWS	90mSD	60mWS	60mSD	30mWS	30mSD	10mWS	10mSD	120mDIR	90mDIR	60mDIR	120mTEMP	10mTEMP	PRESS
060116	0000	9.53	1.02	8.682	1.128	7.805	1.115	6.711	1.038	5.732	0.846	271.4	281.3	272.8	28.1	28.2	998.4
060116	0010	10.199	1.005	9.652	1.234	8.875	1.165	7.731	1.325	6.656	1.252	270	278.4	270	28.1	28.1	998.2
060116	0020	10.137	1.282	9.199	1.204	8.36	1.238	7.237	1.208	5.944	1.218	267.2	277	268.6	28.2	28.2	998.2
060116	0030	10.167	1.198	9.677	1.238	8.641	1.173	7.487	1.112	6.107	1.209	270	278.4	268.6	28.2	28.2	998.1
060116	0040	10.312	1.228	9.849	1.323	9.13	1.271	8.28	1.41	7.018	1.196	271.4	279.8	271.4	28.1	28.2	997.9
060116	0050	10.307	1.31	9.655	1.291	9.004	1.287	7.967	1.329	6.426	1.26	274.2	282.7	274.2	28.2	28.1	997.7
060116	0100	11.021	1.08	10.119	1.279	8.755	1.101	7.435	1.064	6.008	1.071	274.2	282.7	274.2	28.2	28.2	997.5
060116	0110	10.54	0.973	9.826	1.091	9.181	0.944	8.13	1.078	6.658	0.978	274.2	282.7	275.6	28.2	28.2	997.4
060116	0120	8.701	0.935	8.187	1.018	7.593	0.997	6.504	1.078	5.442	1.036	271.4	278.4	270	28.2	28.2	997.2
060116	0130	8.889	1.03	8.147	1.018	7.287	0.976	6.482	1.038	5.627	1.015	268.6	278.4	268.6	28.2	28.2	997.1
060116	0140	8.378	0.895	7.759	0.916	6.989	0.727	5.959	1.007	5.028	0.984	267.2	275.6	265.8	28.2	28.1	996.9
060116	0150	7.965	0.841	7.195	0.863	6.449	0.683	5.334	0.705	4.507	0.74	267.2	274.2	263	28.2	28.1	996.8
060116	0200	7.876	0.707	7.289	0.814	6.537	0.734	5.637	0.835	4.915	0.788	270	277	268.6	28.2	28.2	996.6
060116	0210	8.435	0.816	7.613	0.782	6.72	0.602	5.991	0.65	5.116	0.781	267.2	274.2	264.4	28.2	28.2	996.4
060116	0220	8.2	0.829	7.557	0.955	6.671	0.893	5.743	0.902	4.948	0.774	264.4	272.8	263	28.2	28.1	996.3
060116	0230	8.454	0.797	7.75	0.795	6.829	0.795	5.685	0.878	4.887	0.833	263	270	260.2	28.1	28.1	996.1
060116	0240	8.149	0.847	7.311	0.82	6.694	0.881	5.783	0.816	4.828	0.781	263	271.4	260.2	28.1	27.9	996
060116	0250	8.279	0.714	7.667	0.705	6.914	0.683	5.648	0.783	4.596	0.827	261.6	268.6	258.8	28	27.9	996.1
060116	0300	8.389	0.829	7.783	0.927	6.835	0.863	5.638	0.79	4.681	0.767	258.8	267.2	257.3	28	28	996.1
060116	0310	8.209	0.979	7.166	1.002	6.408	0.845	5.372	0.81	4.558	0.767	258.8	267.2	257.3	28	28.1	996.1
060116	0320	8.108	1.198	7.375	1.173	6.604	1.018	5.694	0.97	4.984	0.984	261.6	270	260.2	28.1	28.1	996.1
060116	0330	8.397	0.854	7.612	0.938	6.881	0.965	6.059	0.948	5.144	0.814	258.8	267.2	258.8	28.2	28.2	996.1
060116	0340	8.843	0.952	7.921	1.082	6.763	1.165	5.855	0.959	4.957	0.934	254.5	260.2	250.3	28.3	28.2	996.1
060116	0350	8.898	1.172	8.081	1.259	7.436	0.916	6.287	0.872	5.473	0.846	255.9	263	253.1	28.3	28.1	996.1
060116	0400	8.071	1.141	7.435	1.173	6.855	1.156	5.863	1.117	5.009	1.061	261.6	268.6	258.8	28.3	28.3	996.1
060116	0410	8.355	1.03	7.746	0.91	7.008	1.082	5.811	0.948	4.634	0.814	260.2	267.2	258.8	28.5	28.3	996.1
060116	0420	8.242	1.177	7.469	1.119	6.687	0.761	5.739	0.997	4.811	0.814	258.8	267.2	258.8	28.5	28.3	996.1
060116	0430	8.332	1.278	7.893	1.096	7.309	0.833	6.353	0.854	5.317	0.894	257.3	267.2	258.8	28.3	28.2	996.1
060116	0440	8.449	1.025	7.91	1.023	7.031	0.893	6.172	0.908	5.313	0.923	258.8	265.8	255.9	28.2	28.2	996.1
060116	0450	8.439	1.237	7.777	1.307	7.151	1.221	6.25	1.007	5.407	1	258.8	267.2	257.3	28.2	28.1	996.2
060116	0500	8.099	0.935	7.477	1.002	6.914	1.057	5.552	1.14	4.557	1.061	257.3	265.8	257.3	28.3	28.1	996.3
060116	0510	8.061	0.979	7.347	0.971	6.495	1.077	5.453	1.043	4.426	0.957	264.4	274.2	265.8	28.3	28.1	996.4
060116	0520	8.2	0.784	7.501	0.955	6.924	0.899	5.882	0.835	4.826	0.858	267.2	277	270	28.2	28	996.5
060116	0530	7.995	0.962	7.031	0.976	6.206	0.91	4.826	0.769	3.932	0.794	271.4	279.8	271.4	28.1	27.9	996.6
060116	0540	7.925	0.946	7.05	0.921	6.374	0.755	5.286	0.697	4.334	0.672	268.6	277	267.2	28	27.9	996.8
060116	0550	7.217	0.952	6.575	1.012	5.913	0.755	4.921	0.835	4.207	0.696	265.8	275.6	265.8	27.9	27.9	996.9
060116	0600	7.324	0.878	6.339	0.916	5.725	0.899	4.715	0.749	3.868	0.718	267.2	277	268.6	27.9	27.7	997
060116	0610	7.488	0.962	6.583	0.933	5.786	0.833	4.956	0.769	3.88	0.74	263	271.4	264.4	27.9	27.7	997.2
060116	0620	8.19	1.141	7.109	1.2	6.378	0.949	5.209	0.902	4.229	0.794	263	271.4	261.6	27.9	27.6	997.1
060116	0630	7.958	0.721	7.072	0.712	6.325	0.675	5.454	0.682	4.564	0.732	260.2	268.6	258.8	27.9	27.7	997.1
060116	0640	7.93	0.5	7.332	0.529	6.617	0.567	5.358	0.79	4.554	0.688	260.2	268.6	257.3	28	28	997.2
060116	0650	7.797	0.757	7.063	0.893	6.514	0.659	5.345	0.658	4.6	0.688	263	270	260.2	28.1	28.1	997.4
060116	0700	7.354	0.816	6.653	0.851	5.864	0.839	4.854	0.769	4.017	0.754	265.8	272.8	261.6	28.2	28.3	997.5
060116	0710	6.918	0.854	6.001	0.82	5.429	0.82	4.417	0.705	3.857	0.761	265.8	274.2	265.8	28.3	28.3	997.5
060116	0720	6.874	1.045	6.42	1.007	5.985	0.761	5.421	0.854	4.852	0.833	268.6	277	267.2	28.5	28.6	997.5
060116	0730	7.242	1.15	6.734	1.156	6.154	1.124	5.733	1.054	5.037	0.882	270	277	268.6	28.6	28.8	997.8
060116	0740	7.026	1.194	6.345	1.091	6.152	0.887	5.393	0.948	4.645	0.957	271.4	279.8	271.4	28.8	29.1	997.8
060116	0750	9.229	1.168	8.901	1.105	8.43	1.105	7.513	1.083	6.487	0.973	271.4	279.8	271.4	29	29.3	997.8
060116	0800	7.65	1.282	7.36	1.254	7.043	1.208	6.668	1.217	5.957	1.239	270	278.4	270	29.3	29.6	998
060116	0810	8.169	0.86	8.145	0.971	7.877	0.965	7.414	1.054	6.481	1.165	270	279.8	272.8	29.6	29.9	998.1
060116	0820	7.941	1.237	7.982	1.283	7.83	1.128	7.333	1.131	6.405	1.218	268.6	278.4	271.4	29.9	30.3	998.1
060116	0830	8.218	1.035	8.05	1.096	7.762	1.062	7.223	1.018	6.308	0.957	268.6	277	270	30.2	30.4	998.3
060116	0840	8.463	0.872	8.595	1.033	8.561	1.147	8.036	1.296	6.848	1.248	275.6	285.5	279.8	30.5	30.8	998.5
060116	0850	9.669	1.629	9.152	1.794	8.755	1.715	8.152	1.469	7.121	1.387	272.8	281.3	274.2	30.5	31	998.5
060116	0900	9.988	1.08	10.004	1.319	9.604	1.376	8.94	1.511	8.019	1.329	268.6	275.6	267.2	30.7	31	998.5
060116	0910	10.306	1.15	10.078	1.138	9.844	1.043	8.98	1.414	7.734	1.218	275.6	284.1	275.6	30.7	31.2	998.5
060116	0920	9.539	1.237	9.288	1.453	9.27	1.327	9.007	1.391	7.877	1.209	275.6	284.1	272.8	30.8	31.3	998.5
060116	0930	8.528	0.979	8.384	1.077	8.392	1.096	8.113	1.172	7.067	1.321	275.6	285.5	277	31.2	31.6	998.5
060116	0940	9.218	0.912	9.156	0.933	9.143	0.981	8.767	1.088	7.607	1.142	278.4	285.5	278.4	31.3	31.6	998.5
060116	0950	8.708	0.692	8.687	0.833	8.518	0.82	8.044	1.131	6.97	1.09	278.4	288.3	281.3	31.2	31.6	998.6
060116	1000	7.985	1.266	8.023	1.263	7.917	1.007	7.603	1.078	6.65	1.151	277	286.9	278.4	31.5	32.3	998.4
060116	1010	7.657	0.957	7.499	1.053	7.529	1.101	7.037	1.272	6.116	1.226	279.8	288.3	282.7	31.8	32.4	998.3
060116	1020	8.509	0.829	8.565	0.857	8.548	0.845	8.487	1.038	7.666	1.16	270	278.4	268.6	32	32.4	998.3
060116	1030	9.18	1	9.151	1.077	9.051	1.238	8.715	1.313	7.899	1.178	264.4	272.8	263	31.9	32.4	998.3
060116	1040	9.464	0.962	9.369	1.147	9.355	1.043	8.978	1.255	7.819	1.256	270	279.8	272.8	32	32.5	998.2
060116	1050	10.187	1.127	9.992	1.229	9.583	1.133	9.032	1.242	7.814	1.26	270	279.8	271.4	32	32.5	998.1
060116	1100	10.898	1.639	10.677	1.739	10.422	1.777	9.84	1.91	8.353	1.704	268.6	278.4	271.4	32.4	33.4	998
060116	1110	12.087	1.645	11.954	1.751	11.858	1.628	11.449	1.671	10.21	1.612	267.2	275.6	268.6	32.4	33.2	997.8
060116	1120	13.38	1.728	13.009	1.925	12.365	1.862	11.553	1.932	10.011	1.562	267.2	277	267.2	32.4	33.5	997.8
060116	1130	15.46	1.127	15.473	1.147	14.672	1.488	13.566	1.683	11.35	1.891	267.2	275.6	265.8	32.1	33.2	997.6
060116	1140	14.193	1.468	14.091	1.666	13.542	1.78	12.945	1.702	11.133	1.66	265.8	274.2	265.8	32	33.1	997.5
060116	1150	13.432	1.373	13.396	1.599	12.573	1.675	11.648	2.015	10.244	2.069	260.2	267.2	258.8	32	33.2	997.5
060116	1200	12.223	1.61	12.051	1.609	11.693	1.56	10.914	1.494	9.582	1.472	258.8	267.2	257.3	31.9	33.1	997.3
060116	1210	12.108	1.613	12.087	1.653	11.526	1.669	10.525	1.885	9.107	1.973	260.2	267.2	258.8	32	33	997.2
060116	1220	13.41	1.743	13.136	1.774	12.433	1.553	11.661	1.787	10.227	1.631	260.2	267.2	258.8	31.6	32.5	997
060116	1230	15.411	1.108	14.814	1.471	13.912	1.599	12.659	1.586	11.055	1.761	267.2	277	267.2	31.6	32.9	996.9
060116	1240	14.75	1.701	14.543	1.914	13.79	2.12	12.669	2.115	10.83	1.863	267.2	275.6	267.2	31.8	33.1	996.9
060116	1250	14.37	1.623	14.137	1.879	13.924	1.923	13.086	2.229	11.538	2.056	263	272.8	265.8	31.9	33.1	996.7
060116	1300	14.044	1.571	13.85	1.576	13.282	1.41	12.544	1.583	11.081	1.673	258.8	268.6	258.8	31.8	33	996.6
060116	1310	13.352	1.613	12.962	1.832	12.689	1.989	12.078	2.14	10.665	1.954	261.6	271.4	261.6	31.9	33.1	996.4
060116	1320	12.939	1.787	12.986	1.814	12.584	1.742	11.776	1.887	10.322	1.823	261.6	268.6	258.8	32.1	33.4	996.2
060116	1330	11.267	1.461	11.297	1.563	11.142	1.516	10.584	1.717	9.274	1.694	267.2	277	268.6	32.5	33.6	996.1
060116	1340	12.507	1.346	12.243	1.519	11.963	1.439	11.469	1.515	9.998	1.618	264.4	274.2	265.8	32.4	33.2	996.1
060116	1350	12.386	1.443	12.337	1.583	12.093	1.609	11.537	1.778	10.031	1.634	267.2	275.6	267.2	32.1	33	995.9
060116	1400	13.782	2.004	13.673	2.093	13.208	2.134	11.916	2.049	10.372	1.967	264.4	274.2	265.8	32.3	33.2	995.7
060116	1410	14.505	1.74	14.123	1.876	13.557	2.004	12.594	2.069	10.871	1.91	261.6	268.6	258.8	32.1	33.2	995.5
060116	1420	13.666	1.322	13.642	1.599	13.421	1.678	12.944	1.79	11.493	1.734	260.2	270	260.2	32	32.7	995.3
060116	1430	13.038	1.258	12.756	1.307	12.261	1.307	11.607	1.686	10.199	1.599	263	271.4	263	31.9	32.6	995.3
060116	1440	11.234	1.334	10.865	1.485	10.537	1.589	9.951	1.619	8.427	1.514	264.4	272.8	264.4	31.9	32.6	995.2
060116	1450	9.007	1.537	8.638	1.428	8.443	1.509	7.87	1.599	7.014	1.493	265.8	272.8	265.8	31.9	32.7	995
060116	1500	11.448	1.254	11.194	1.254	10.866	1.38	10.054	1.59	8.618	1.555	261.6	268.6	258.8	31.6	32.6	995
060116	1510	12.917	1.282	12.944	1.502	12.413	1.675	11.423	1.882	9.581	1.631	265.8	274.2	265.8	31.2	31.9	995
060116	1520	12.788	1.587	12.143	1.647	11.523	1.435	10.557	1.333	9.149	1.36	263	270	261.6	31	31.8	995
060116	1530	13.289	1.968	12.918	2.149	12.212	2.035	11.288	2.14	9.733	2.051	265.8	275.6	267.2	30.9	31.6	995
060116	1540	14.041	1.506	13.546	1.625	12.842	1.669	12.216	1.742	10.447	1.806	265.8	274.2	265.8	30.7	31.3	994.8
060116	1550	13.614	1.446	13.582	1.586	12.73	1.739	11.711	1.81	9.775	1.725	267.2	277	268.6	30.3	31	994.8
060116	1600	13.583	1.02	13.324	1.38	12.814	1.513	11.688	1.49	9.659	1.719	264.4	274.2	265.8	30.2	30.7	994.8
060116	1610	12.426	1.547	11.963	1.509	11.262	1.395	10.441	1.702	9.048	1.511	258.8	268.6	261.6	30.1	30.8	994.8
060116	1620	14.589	1.561	14.047	1.727	13.25	1.817	12.481	1.89	10.788	1.713	258.8	267.2	258.8	29.9	30.7	994.8
060116	1630	13.359	2.081	12.833	1.983	12.586	1.928	11.716	1.956	9.894	1.88	255.9	264.4	257.3	29.9	30.9	994.7
060116	1640	15.823	2.101	15.201	2.419	14.313	2.358	13.419	2.442	11.812	1.981	254.5	261.6	251.7	29.9	30.7	994.5
060116	1650	13.809	1.903	13.175	1.817	12.417	1.69	11.694	1.816	10.272	1.743	255.9	264.4	257.3	29.9	30.8	994.7
060116	1700	13.567	1.802	13.248	1.89	12.836	1.748	11.88	2.077	10.103	2.004	257.3	265.8	257.3	29.9	30.8	994.8
060116	1710	13.303	1.903	13.074	1.906	12.597	1.914	11.849	1.94	10.196	1.823	260.2	268.6	260.2	29.9	30.7	994.8
060116	1720	13.962	1.734	13.415	1.882	12.737	1.871	11.729	1.915	10.178	1.946	261.6	270	260.2	29.9	30.5	995
060116	1730	14.162	1.845	14.015	1.765	13.398	1.576	12.351	1.862	10.495	1.849	258.8	267.2	260.2	29.7	30.1	995
060116	1740	14.088	1.557	13.802	1.615	13.244	1.425	11.961	1.296	10.482	1.414	257.3	265.8	255.9	29.4	29.9	994.9
060116	1750	14.077	1.482	13.422	1.742	12.384	1.715	11.14	1.661	9.669	1.559	258.8	267.2	258.8	29.3	29.7	994.9
060116	1800	14.761	1.903	14.103	2.137	13.18	2.291	11.943	2.13	10.463	2.187	260.2	268.6	260.2	29.2	29.6	995
060116	1810	14.872	1.79	14.077	1.862	13.171	1.868	11.858	1.842	9.978	1.913	263	271.4	261.6	28.7	29	995.2
060116	1820	12.928	1.96	12.587	1.991	11.876	2.035	10.998	2.369	9.695	2.334	261.6	270	260.2	28.5	28.5	995.4
060116	1830	11.835	1.642	11.298	1.634	10.438	1.573	9.458	1.494	8.173	1.599	258.8	267.2	258.8	28.1	28.2	995.5
060116	1840	11.694	1.642	11.194	1.846	9.915	1.53	8.812	1.629	7.525	1.599	257.3	265.8	255.9	27.9	28	995.5
060116	1850	12.534	1.547	11.913	1.523	10.754	1.319	9.927	1.469	8.509	1.514	261.6	270	261.6	27.7	28	995.6
060116	1900	12.239	1.679	11.386	1.488	10.594	1.526	9.411	1.603	8.01	1.555	260.2	268.6	260.2	27.7	27.9	995.7
060116	1910	13.594	1.725	12.874	1.904	11.814	2.03	10.897	1.932	9.218	1.767	261.6	270	261.6	27.7	27.7	995.9
060116	1920	12.961	1.648	12.342	1.485	11.69	1.583	10.912	1.648	9.532	1.66	263	272.8	263	27.6	27.9	996.7
060116	1930	13.699	1.577	12.94	1.733	11.69	1.92	10.357	1.873	9.308	1.77	264.4	274.2	264.4	27.6	27.9	997
060116	1940	13	1.489	11.928	1.421	11.265	1.323	10.135	1.41	8.553	1.504	267.2	275.6	265.8	27.6	27.9	997.2
060116	1950	12.486	1.537	11.889	1.573	11.217	1.596	10.3	1.717	8.712	1.722	267.2	277	267.2	27.7	27.9	997.2
