Date	Time	120mWS	120mSD	90mWS	90mSD	60mWS	60mSD	30mWS	30mSD	10mWS	10mSD	120mDIR	90mDIR	60mDIR	120mTEMP	10mTEMP	PRESS
080116	0000	15.11	1.35	14.20	1.42	12.69	1.59	11.39	1.57	9.46	1.49	255.90	263.00	254.50	26.90	26.90	998.40
080116	0010	13.84	1.52	13.13	1.63	12.15	1.64	11.15	1.68	9.85	1.62	257.30	264.40	254.50	26.90	26.90	998.40
080116	0020	13.24	1.76	12.77	1.88	11.76	1.95	10.62	1.78	9.19	1.59	257.30	264.40	255.90	26.80	26.90	998.40
080116	0030	13.49	1.44	12.67	1.61	11.26	1.79	9.78	1.84	8.56	1.71	258.80	265.80	257.30	26.80	26.90	998.30
080116	0040	11.93	1.66	11.23	1.67	10.56	1.47	9.44	1.36	8.43	1.49	260.20	270.00	261.60	26.80	26.90	998.30
080116	0050	13.95	1.70	13.38	1.62	12.25	1.52	10.95	1.57	9.32	1.53	260.20	268.60	260.20	26.90	26.90	998.10
080116	0100	13.33	1.80	12.52	2.14	11.44	2.02	10.05	2.00	8.59	1.76	258.80	268.60	258.80	26.90	26.90	998.00
080116	0110	13.28	1.78	12.27	2.24	11.06	2.10	9.91	1.84	8.63	1.62	258.80	267.20	258.80	26.80	26.80	997.90
080116	0120	12.77	1.96	11.83	2.08	10.71	1.74	9.38	1.70	8.22	1.61	263.00	271.40	261.60	26.60	26.80	997.90
080116	0130	12.75	1.55	11.85	1.77	10.76	1.57	9.69	1.62	8.33	1.62	264.40	271.40	264.40	26.60	26.60	997.80
080116	0140	13.83	1.46	13.04	1.62	12.25	1.46	10.98	1.70	9.61	1.68	265.80	274.20	265.80	26.60	26.80	997.60
080116	0150	12.15	1.57	11.50	1.60	10.64	1.77	9.82	1.84	8.45	1.76	263.00	272.80	261.60	26.60	26.60	997.70
080116	0200	12.99	1.32	12.25	1.47	11.63	1.49	10.77	1.55	9.43	1.45	261.60	271.40	261.60	26.40	26.50	997.60
080116	0210	14.81	1.57	14.23	1.76	13.06	1.51	11.44	1.66	9.95	1.60	268.60	277.00	268.60	26.40	26.50	997.50
080116	0220	14.37	1.56	13.41	1.67	12.14	1.50	10.98	1.72	9.54	1.60	268.60	277.00	268.60	26.50	26.60	997.50
080116	0230	12.88	1.46	12.26	1.65	11.34	1.68	10.50	1.75	9.21	1.63	268.60	278.40	270.00	26.50	26.50	997.50
080116	0240	11.83	1.75	11.10	1.60	10.38	1.55	9.20	1.64	7.95	1.53	265.80	275.60	265.80	26.50	26.60	997.40
080116	0250	13.03	1.49	12.17	1.65	11.23	1.40	9.83	1.23	8.43	1.44	265.80	274.20	265.80	26.40	26.40	997.20
080116	0300	12.88	1.65	12.01	1.59	11.14	1.40	9.87	1.44	8.53	1.33	268.60	278.40	268.60	26.40	26.50	997.10
080116	0310	13.71	1.23	12.81	1.37	11.54	1.44	10.62	1.66	9.38	1.67	267.20	275.60	267.20	26.40	26.50	997.00
080116	0320	14.09	1.50	13.20	1.58	12.06	1.76	10.85	1.70	9.41	1.75	265.80	274.20	265.80	26.30	26.50	997.00
080116	0330	14.48	1.56	13.74	1.67	12.84	1.77	11.61	1.89	10.21	1.85	268.60	278.40	270.00	26.40	26.30	997.10
080116	0340	13.62	1.28	12.75	1.50	12.02	1.32	11.12	1.58	9.50	1.58	268.60	277.00	268.60	26.20	26.20	997.20
080116	0350	12.79	1.69	12.39	1.86	11.16	1.83	10.18	1.54	8.82	1.55	265.80	274.20	265.80	26.00	26.20	997.20
080116	0400	12.52	1.37	12.19	1.45	11.41	1.61	10.39	1.80	9.04	1.71	267.20	275.60	267.20	25.90	26.00	997.20
080116	0410	11.71	1.34	10.99	1.38	9.84	1.47	8.65	1.25	7.64	1.17	264.40	272.80	263.00	25.90	25.90	997.20
080116	0420	12.37	1.78	11.53	1.99	10.42	1.92	9.36	1.71	8.17	1.58	261.60	270.00	260.20	25.80	25.90	997.20
